ID	Parties	Orgs	Speakers	Sex	MPs	Affilliated	Birth	URL	IMG
BE	63	2	775	548	548	548	548	0	548
BG	14	5	606	606	420	299	419	9	0
CZ	61	851	485	461	366	366	366	366	364
DK	19	2	454	454	446	446	446	0	0
ES	50	2	814	814	764	753	752	0	0
FR	16	100	670	670	609	581	609	0	0
GB	31	2	1901	1901	1865	1865	0	1865	1029
HR	16	2	322	322	182	180	168	0	0
HU	10	2	194	194	194	194	192	0	0
IS	10	2	205	205	113	113	113	0	0
IT	42	2	739	739	689	589	689	0	0
LT	13	214	799	799	247	233	247	0	0
LV	11	2	219	219	174	174	0	0	0
NL	29	3	492	492	454	454	0	0	0
PL	10	1	1123	1122	743	709	742	0	0
SI	15	5	377	377	167	163	163	60	0
TR	19	2	1237	1237	1223	1203	0	0	0
