Country	Role	ID	From	To	Init	Name
CZ	politicalGroup	politicalGroup.CSSD.540	1992-06-06	1992-12-31	ČSSD	ČSSD
CZ	politicalGroup	politicalGroup.CSSD.599	2002-06-21	2006-06-15	ČSSD	Poslanecký klub České strany sociálně demokratické
CZ	politicalGroup	politicalGroup.CSSD.750	2006-06-05	2010-06-03	ČSSD	Poslanecký klub České strany sociálně demokratické
CZ	politicalGroup	politicalGroup.CSSD.863	2010-06-04	2013-08-28	ČSSD	Poslanecký klub České strany sociálně demokratické
CZ	politicalGroup	politicalGroup.KDS.6	1992-06-06	1996-03-31	KDS	Poslanecký klub Křesťansko demokratické strany
CZ	politicalGroup	politicalGroup.KDU-CSL.1110	2013-10-31	2017-10-26	KDU-ČSL	Poslanecký klub Křesťanské a demokratické unie-Československé strany lidové
CZ	politicalGroup	politicalGroup.KDU-CSL.1297	2017-10-24	-	KDU-ČSL	Poslanecký klub KDU-ČSL
CZ	politicalGroup	politicalGroup.KDU-CSL.49	1998-06-25	2002-06-20	KDU-ČSL	Poslanecký klub Křesťanské a demokratické unie - Československé strany lidové
CZ	politicalGroup	politicalGroup.KDU-CSL.597	2002-06-19	2006-06-15	KDU-ČSL	Poslanecký klub Křesťanské a demokratické unie-Československé strany lidové
CZ	politicalGroup	politicalGroup.KDU-CSL.751	2006-06-16	2010-06-03	KDU-ČSL	Poslanecký klub Křesťanské a demokratické unie-Československé strany lidové
CZ	politicalGroup	politicalGroup.KSCM.1109	2013-10-27	2017-10-26	KSČM	Poslanecký klub Komunistické strany Čech a Moravy
CZ	politicalGroup	politicalGroup.KSCM.1293	2017-10-24	-	KSČM	Poslanecký klub Komunistické strany Čech a Moravy
CZ	politicalGroup	politicalGroup.KSCM.42	1996-06-03	1998-06-19	KSČM	Poslanecký klub Komunistické strany Čech a Moravy
CZ	politicalGroup	politicalGroup.KSCM.50	1998-06-23	2002-06-20	KSČM	Poslanecký klub Komunistické strany Čech a Moravy
CZ	politicalGroup	politicalGroup.KSCM.505	1990-06-07	1992-06-04	KSČM	Komunistická strana Čech a Moravy
CZ	politicalGroup	politicalGroup.KSCM.596	2002-06-19	2006-06-15	KSČM	Poslanecký klub Komunistické strany Čech a Moravy
CZ	politicalGroup	politicalGroup.KSCM.752	2006-06-08	2010-06-03	KSČM	Poslanecký klub Komunistické strany Čech a Moravy
CZ	politicalGroup	politicalGroup.KSCM.866	2010-06-02	2013-08-28	KSČM	Poslanecký klub Komunistické strany Čech a Moravy
CZ	politicalGroup	politicalGroup.KSCS.504	1990-06-07	1992-06-04	KSČS	Komunistická strana Československa
CZ	politicalGroup	politicalGroup.LB.10	1992-06-06	1996-06-06	LB	Poslanecký klub Levého bloku
CZ	politicalGroup	politicalGroup.Nezaraz.1065	2011-04-05	2013-08-28	Nezařaz	Nezařazení
CZ	politicalGroup	politicalGroup.Nezaraz.1165	2014-02-04	2017-10-26	Nezařaz	Nezařazení
CZ	politicalGroup	politicalGroup.Nezaraz.1500	2019-03-15	-	Nezařaz	Nezařazení
CZ	politicalGroup	politicalGroup.Nezaraz.856	2006-10-25	2010-06-03	Nezařaz	Nezařazení
CZ	politicalGroup	politicalGroup.ODS.1106	2013-10-30	2017-10-26	ODS	Poslanecký klub Občanské demokratické strany
CZ	politicalGroup	politicalGroup.ODS.1295	2017-10-24	-	ODS	Poslanecký klub Občanské demokratické strany
CZ	politicalGroup	politicalGroup.ODS.15	1992-06-06	1996-06-06	ODS	Poslanecký klub Občanské demokratické strany
CZ	politicalGroup	politicalGroup.ODS.45	1996-06-11	1998-06-19	ODS	Poslanecký klub Občanské demokratické strany
CZ	politicalGroup	politicalGroup.ODS.51	1998-06-30	2002-06-20	ODS	Poslanecký klub Občanské demokratické strany
CZ	politicalGroup	politicalGroup.ODS.600	2002-06-25	2006-06-15	ODS	Poslanecký klub Občanské demokratické strany
CZ	politicalGroup	politicalGroup.ODS.753	2006-06-08	2010-06-03	ODS	Poslanecký klub Občanské demokratické strany
CZ	politicalGroup	politicalGroup.ODS.864	2010-05-30	2013-08-28	ODS	Poslanecký klub Občanské demokratické strany
CZ	politicalGroup	politicalGroup.OF.512	1990-06-07	1992-06-04	OF	Občanské fórum
CZ	politicalGroup	politicalGroup.OH.515	1990-06-07	1992-06-04	OH	Občanské hnutí
CZ	politicalGroup	politicalGroup.Pirati.1300	2017-10-22	-	Piráti	Poslanecký klub České pirátské strany
CZ	politicalGroup	politicalGroup.SDO.516	1990-06-07	1992-06-04	SDO	Klub Sociálně demokratické orientace
CZ	politicalGroup	politicalGroup.SPD.1298	2017-10-26	-	SPD	Poslanecký klub Svoboda a přímá demokracie
CZ	politicalGroup	politicalGroup.STAN.1296	2017-10-23	-	STAN	Poslanecký klub Starostové a nezávislí
CZ	politicalGroup	politicalGroup.TOP09-S.1112	2013-10-31	2017-10-26	TOP09-S	Poslanecký klub TOP 09 a Starostové
CZ	politicalGroup	politicalGroup.TOP09-S.865	2010-06-10	2013-08-28	TOP09-S	Poslanecký klub TOP 09 a Starostové
CZ	politicalGroup	politicalGroup.TOP09.1299	2017-10-31	-	TOP09	Poslanecký klub TOP 09
CZ	politicalGroup	politicalGroup.Usvit.1111	2013-11-05	2017-10-26	Úsvit	Poslanecký klub Úsvit - Národní Koalice
CZ	politicalGroup	politicalGroup.VV.867	2010-05-31	2013-08-28	VV	Poslanecký klub Věci veřejné
CZ	politicalParty	politicalParty.ANO2011.1104	2013-10-26	-	ANO2011	ANO2011
CZ	politicalParty	politicalParty.CSSD.153	1900-01-01	-	CSSD	Česká strana sociálně demokratická
CZ	politicalParty	politicalParty.K.595	2002-06-15	-	K	Koalice
CZ	politicalParty	politicalParty.KDU-CSL.151	1900-01-01	-	KDU-ČSL	Křesťanská a demokratická unie - Československá strana lidová
CZ	politicalParty	politicalParty.KSCM.154	1900-01-01	-	KSCM	Komunistická strana Čech a Moravy
CZ	politicalParty	politicalParty.ODS.155	1900-01-01	-	ODS	Občanská demokratická strana
CZ	politicalParty	politicalParty.Pirati.1290	2017-10-21	-	Piráti	Česká pirátská strana
CZ	politicalParty	politicalParty.SPD.1291	2017-10-21	-	SPD	Svoboda a prima demokracie - Tomio Okamura
CZ	politicalParty	politicalParty.STAN.1289	2017-10-21	-	STAN	Starostove a nezavisli
CZ	politicalParty	politicalParty.TOP09.948	2010-05-29	-	TOP09	TOP 09
CZ	politicalParty	politicalParty.Usvit.1105	2013-10-26	-	Usvit	Úsvit přímé demokracie Tomia Okamury
CZ	politicalParty	politicalParty.VV.949	2010-05-29	-	VV	Věci veřejné
DK	politicalParty	party.ALT	-	-	ALT	Alternativet
DK	politicalParty	party.DF	-	-	DF	Dansk Folkeparti
DK	politicalParty	party.EL	-	-	EL	Enhedslisten
DK	politicalParty	party.IA	-	-	IA	Inuit Ataqatigiit
DK	politicalParty	party.JF	-	-	JF	Javnaðarflokkurin
DK	politicalParty	party.KD	-	-	KD	Kristendemokraterne
DK	politicalParty	party.KF	-	-	KF	Det Konservative Folkeparti
DK	politicalParty	party.LA	-	-	LA	Liberal Alliance
DK	politicalParty	party.NB	-	-	NB	Nye Borgerlige
DK	politicalParty	party.NQ	-	-	NQ	Nunatta Qitornai
DK	politicalParty	party.RV	-	-	RV	Radikale Venstre
DK	politicalParty	party.S	-	-	S	Socialdemokratiet
DK	politicalParty	party.SF	-	-	SF	Socialistisk Folkeparti
DK	politicalParty	party.SIU	-	-	SIU	Siumut
DK	politicalParty	party.SP	-	-	SP	Sambandsflokkurin
DK	politicalParty	party.T	-	-	T	Tjóðveldi
DK	politicalParty	party.TF	-	-	TF	Tjóðveldisflokkurin
DK	politicalParty	party.UFG	-	-	UFG	Uden for folketingsgrupperne
DK	politicalParty	party.V	-	-	V	Venstre
ES	politicalParty	party.PSCPSCPSOE	-	-	PSC(PSC-PSOE)	Partido de los Socialistas de Cataluña
ES	politicalParty	party.PSOEdeAndalucía	-	-	PSOEdeAndalucía	Partido Socialista Obrero Español de Andalucía
ES	politicalParty	party.PPEU	-	-	PP-EU	Partido Popular
ES	politicalParty	party.EUiA	-	-	EUiA	Esquerra Unida i Alternativa
ES	politicalParty	party.CCNCPNC	-	-	CC-NC-PNC	Coalición Canaria-Nueva Canaria-Partido Nacionalista Canario
ES	politicalParty	party.COMPROMÍSQ	-	-	Compromís-Q	Comprommís-Q
ES	politicalParty	party.ERCRIcat	-	-	ERC-RI.cat	Esquerra Republicana de Catalunya - Reagrupament Independentista
ES	politicalParty	party.EUPV	-	-	EUPV	Esquerra Unida del País Valencià
ES	politicalParty	party.GB	-	-	GB	Geroa Bai
ES	politicalParty	party.ICV	-	-	ICV	Iniciativa per Catalunya Verds
ES	politicalParty	party.UPN	-	-	UPN	Unión del Pueblo Navarro
ES	politicalParty	party.AMAIUR	-	-	Amaiur	Amaiur
ES	politicalParty	party.CiU	-	-	CiU	Convergència i Unió
ES	politicalParty	party.IZQPLU	-	-	IZQ-PLU	Izquierda Plural
ES	politicalParty	party.DL	-	-	DL	Democràcia i Llibertat
ES	politicalParty	party.UPyD	-	-	UPyD	Unión Progreso y Democracia
ES	politicalParty	party.PSOENCa	-	-	PSOE-NCa	Partido Socialista Obrero Español - Nueva Canarias
ES	politicalParty	party.PSdGPSOE	-	-	PSdG-PSOE	Partido dos Socialistas de Galicia - Partido Socialista Obrero Español
ES	politicalParty	party.PPPAR	-	-	PP-PAR	Partido Popular - Partido Aragonés
ES	politicalParty	party.EMPAEU	-	-	EM-P-A-EU	En Marea - Podemos - Anova - Esquerda Unida
ES	politicalParty	party.CPEUPV	-	-	C-P-EUPV	Compromís - Podemos - Esquerra Unida del País Valencià
ES	politicalParty	party.CDC	-	-	CDC	Convergècia Democràtica de Catalunya
ES	politicalParty	party.UPNPP	-	-	UPN-PP	Unión Pueblo Navarro - Partido Popular
ES	politicalParty	party.ERCCATSÍ	-	-	ERC-CATSÍ	Esquerra Republicana de Catalunya - Catalunya Sí
ES	politicalParty	party.UPM	-	-	UPM	Unión por un Movimiento Popular
ES	politicalParty	party.CCaPNC	-	-	CCa-PNC	Coalición Canaria - Partido Nacionalista Canario
ES	politicalParty	party.ECP	-	-	ECP	En Comú Podem
ES	politicalParty	party.CCaPNCNC	-	-	CCa-PNC-NC	Coalición Canaria - Partido Nacionalista Canario - Nueva Canarias
ES	politicalParty	party.ECUP	-	-	EC-UP	En Comú Podem - Unidas Podemos
ES	politicalParty	party.CUPPR	-	-	CUP-PR	Candidatura d'Unitat Popular
ES	politicalParty	party.PSEEEPSOE	-	-	PSE-EE-PSOE	Partido Socialista de Euskadi - Euskadiko Ezkerra - Partido Socialista Obrero Español
ES	politicalParty	party.TeruelExiste	-	-	TE	¡Teruel Existe!
ES	politicalParty	party.BNG	-	-	BNG	Bloque Nacionalista Galego
ES	politicalParty	party.Cs	-	-	Cs	Ciudadanos
ES	politicalParty	party.EAJPNV	-	-	EAJ-PNV	Euzko Alderdi Jeltzalea-Partido Nacionalista Vasco
ES	politicalParty	party.ECPGUAYEMELCANVI	-	-	ECP-GeC	En Comú Podem - Guayem el Canvi
ES	politicalParty	party.EHBildu	-	-	EH Bildu	Euskal Herria Bildu
ES	politicalParty	party.ERCS	-	-	ERC-S	Esquerra Republicana de Catalunya - Sobiranistes
ES	politicalParty	party.JxCatJUNTS	-	-	JxCat-Junts	Junts per Catalunya
ES	politicalParty	party.MÁSPAÍSEQUO	-	-	Más País-Equo	Más País - Equo
ES	politicalParty	party.MÉSCOMPROMÍS	-	-	Més Compromís	Més Compromís
ES	politicalParty	party.NCCCaPNC	-	-	NC-CCa-PNC	Nueva Canarias - Coalición Canaria - Partido Nacionalista Canario
ES	politicalParty	party.PP	-	-	PP	Partido Popular
ES	politicalParty	party.PPFORO	-	-	PP-Foro	Partido Popular - Foro Asturias
ES	politicalParty	party.PRC	-	-	PRC	Partido Regionalista de Cantabria
ES	politicalParty	party.PSCPSOE	-	-	PSC-PSOE	Partido Socialista de Cataluya - Partido Socialista Obrero Español
ES	politicalParty	party.PSOE	-	-	PSOE	Partido Socialista Obrero Español
ES	politicalParty	party.PsdeGPSOE	-	-	PsdeG-PSOE	Partido dos Socialistas de Galicia - Partido Socialista Obrero Español
ES	politicalParty	party.UP	-	-	UP	Unidas Podemos
ES	politicalParty	party.Vox	-	-	Vox	Vox
GB	politicalParty	party.QHMP	-	-	QHMP	Conservative Independent
GB	politicalParty	party.SO0T	-	-	SO0T	Other
GB	politicalParty	party.LD	-	-	LD	Liberal Democrat
GB	politicalParty	party.64RT	-	-	64RT	Respect
GB	politicalParty	party.SDLP	-	-	SDLP	Social Democratic & Labour Party
GB	politicalParty	party.L1QU	-	-	L1QU	Liberal Democrat Independent
GB	politicalParty	party.0UBS	-	-	0UBS	Independent Conservative
GB	politicalParty	party.BI	-	-	BI	Bishops
GB	politicalParty	party.LI	-	-	LI	Labour Independent
GB	politicalParty	party.LB	-	-	LB	Liberal
GB	politicalParty	party.LJ95	-	-	LJ95	Change UK - The Independent Group
GB	politicalParty	party.IGC	-	-	IGC	The Independent Group for Change
GB	politicalParty	party.NPBE	-	-	NPBE	Independent Unionist
GB	politicalParty	party.CB	-	-	CB	Crossbench
GB	politicalParty	party.S	-	-	S	Speaker
GB	politicalParty	party.QMZZ	-	-	QMZZ	Independent Ulster Unionist
GB	politicalParty	party.IL	-	-	IL	Independent Labour
GB	politicalParty	party.UUP	-	-	UUP	Ulster Unionist Party
GB	politicalParty	party.FZPG	-	-	FZPG	Independent SDP
GB	politicalParty	party.LAB	-	-	LAB	Labour
GB	politicalParty	party.A	-	-	A	Alliance
GB	politicalParty	party.GP	-	-	GP	Green Party
GB	politicalParty	party.SNP	-	-	SNP	Scottish National Party
GB	politicalParty	party.I	-	-	I	Independent
GB	politicalParty	party.L8TA	-	-	L8TA	Independent Liberal Democrat
GB	politicalParty	party.CON	-	-	CON	Conservative
GB	politicalParty	party.LS	-	-	LS	Lord Speaker
GB	politicalParty	party.NA	-	-	NA	Non-affiliated
GB	politicalParty	party.DUP	-	-	DUP	Democratic Unionist Party
GB	politicalParty	party.UUSL	-	-	UUSL	Social Democratic Party
GB	politicalParty	party.ZKPW	-	-	ZKPW	Independent Social Democrat
GB	politicalParty	party.UKIP	-	-	UKIP	UK Independence Party
GB	politicalParty	party.PC	-	-	PC	Plaid Cymru
HR	politicalParty	party.BM_365_NZ	-	-	BM 365 i NZ	Klub Stranke rada i solidarnosti i nezavisnih zastupnika
HR	politicalParty	party.GLAS	-	-	GLAS	Klub Građansko-liberalnog saveza
HR	politicalParty	party.HDS_HSLS_HDSSB	-	-	HDS, HSLS, HDSSB	Klub Hrvatske demokršćanske stranke, Hrvatske socijalno-liberalne stranke i Hrvatskog demokratskog saveza Slavonije i Baranje
HR	politicalParty	party.HDZ	-	-	HDZ	Klub Hrvatske demokratske zajednice
HR	politicalParty	party.HNS	-	-	HNS	Klub Hrvatske narodne stranke - liberalnih demokrata
HR	politicalParty	party.HS	-	-	HS	Klub Hrvatski suverenisti
HR	politicalParty	party.HSS_Demokrati	-	-	HSS i Demokrati	Klub Hrvatske seljačke stranke i Demokrata
HR	politicalParty	party.HSU_SNAGA_NZ_NP	-	-	HSU, SNAGA, NZ i NP	Klub zastupnika Hrvatske stranke umirovljenika, SNAGA-e, nezavisnih zastupnika i Nove politike
HR	politicalParty	party.IDS_PGS_RI	-	-	IDS, PGS, RI	Klub Istarskog demokratskog sabora, Primorsko-goranskog saveza, Liste za Rijeku
HR	politicalParty	party.Most	-	-	Most	Klub Mosta nezavisnih lista
HR	politicalParty	party.NLM	-	-	NLM	Klub Nezavisne liste mladih
HR	politicalParty	party.Nezavisni	-	-	Nezavisni	Klub nezavisnih
HR	politicalParty	party.SDP	-	-	SDP	Klub Socijaldemokratske partije Hrvatske
HR	politicalParty	party.SDSS	-	-	SDSS	Klub Samostalne demokratske srpske stranke
HR	politicalParty	party.Živi_zid_PH	-	-	Živi zid i PH	Klub zastupnika Živog zida i Promijenimo Hrvatsku
HR	politicalParty	party.Živi_zid_SNAGA	-	-	Živi zid, SNAGA	Klub Živog zida i SNAGA-e
HU	politicalParty	party.MSZP	-	-	MSZP	Magyar Szocialista Párt
HU	politicalParty	party.JOBBIK	-	-	Jobbik	Jobbik Magyarországért Mozgalom
HU	politicalParty	party.FIDESZ	-	-	Fidesz	Fidesz – Magyar Polgári Szövetség
HU	politicalParty	party.LMP	-	-	LMP	Lehet Más a Politika
HU	politicalParty	party.KDNP	-	-	KDNP	Kereszténydemokrata Néppárt
HU	politicalParty	party.EGYÜTT	-	-	Együtt	Együtt – a Korszakváltók Pártja
HU	politicalParty	party.PÁRBESZÉD	-	-	Párbeszéd	Párbeszéd Magyarországért
HU	politicalParty	party.MLP	-	-	MLP	Magyar Liberális Párt
HU	politicalParty	party.FÜGGETLEN	-	-	független	independent
HU	politicalParty	party.DK	-	-	DK	Demokratikus Koalíció
IS	politicalParty	party.Bf	-	-	Bf	Björt framtíð
IS	politicalParty	party.F	-	-	F	Framsóknarflokkur
IS	politicalParty	party.Flf	-	-	Flf	Flokkur fólksins
IS	politicalParty	party.M	-	-	M	Miðflokkurinn
IS	politicalParty	party.P	-	-	P	Píratar
IS	politicalParty	party.S	-	-	S	Sjálfstæðisflokkur
IS	politicalParty	party.Sf	-	-	Sf	Samfylking
IS	politicalParty	party.U	-	-	U	Utan flokka
IS	politicalParty	party.V	-	-	V	Viðreisn
IS	politicalParty	party.Vg	-	-	Vg	Vinstrihreyfingin - grænt framboð
IT	politicalGroup	group.LN-Aut	2013-03-15	2018-03-22	LN-Aut	Lega Nord e Autonomie
IT	politicalGroup	group.GAL.GS.PpI.M.Id.E-E.MPL.RI	2017-02-01	2017-05-15	GAL (GS, PpI, M, Id, E-E, MPL, RI)	Grandi Autonomie e Libertà (Grande Sud, Popolari per l'Italia, Moderati, Idea, Euro-Exit, M.P.L. - Movimento politico Libertas, Riscossa Italia)
IT	politicalGroup	group.Art.1-MDP-LeU	2017-12-13	2018-03-22	Art.1-MDP-LeU	Articolo 1 - Movimento Democratico e Progressista - Liberi e Uguali
IT	politicalGroup	group.PD	2008-04-29	-	PD	Partito Democratico
IT	politicalGroup	group.FIBP-UDC	2019-12-11	-	FIBP-UDC	Forza Italia Berlusconi Presidente-UDC
IT	politicalGroup	group.NcI	2017-12-22	2018-03-22	NcI	Noi con l'Italia
IT	politicalGroup	group.ALA-PRI	2018-01-05	2018-03-22	ALA-PRI	ALA (Alleanza Liberal Popolare) - PRI (Partito Repubblicano Italiano)
IT	politicalGroup	group.CoR	2015-09-08	2017-04-01	CoR	Conservatori e Riformisti
IT	politicalGroup	group.GAL.GS.PpI.FV.M	2015-08-05	2015-11-03	GAL (GS, PpI, FV, M)	Grandi Autonomie e Libertà (Grande Sud, Popolari per l'Italia, Federazione dei Verdi, Moderati)
IT	politicalGroup	group.SCpI	2013-03-15	2013-11-26	SCpI	Scelta Civica per l'Italia
IT	politicalGroup	group.GAL-UDC	2017-12-21	2018-03-22	GAL-UDC	Grandi Autonomie e Libertà - Unione dei Democratici Cristiani e Democratici di Centro
IT	politicalGroup	group.M5S.1	2013-03-15	2018-03-22	M5S.1	Movimento 5 Stelle
IT	politicalGroup	group.GAL.GS.PpI.M.Id.E-E.MPL	2016-02-16	2016-05-09	GAL (GS, PpI, M, Id, E-E, MPL)	Grandi Autonomie e Libertà (Grande Sud, Popolari per l'Italia, Moderati, Idea, Euro-Exit, M.P.L.-Movimento politico Libertas)
IT	politicalGroup	group.FdI	2018-03-23	-	FdI	Fratelli d'Italia
IT	politicalGroup	group.FL.Id-PL.PLI	2017-05-25	2018-03-22	FL (Id-PL, PLI)	Federazione della Libertà (Idea-Popolo e Libertà, PLI)
IT	politicalGroup	group.AL-A.MpA	2016-04-11	2016-06-20	AL-A (MpA)	Alleanza Liberalpopolare-Autonomie (Movimento per le Autonomie)
IT	politicalGroup	group.AP.NCD-UDC	2014-12-11	2016-12-06	AP (NCD-UDC)	Area Popolare (NCD-UDC)
IT	politicalGroup	group.GAL.GS.PpI.FV.M.MBI.Id	2015-12-21	2016-01-13	GAL (GS, PpI, FV, M, MBI, Id)	Grandi Autonomie e Libertà (Grande Sud, Popolari per l'Italia, Federazione dei Verdi, Moderati, Movimento Base Italia, Idea)
IT	politicalGroup	group.CRi	2015-05-30	2015-09-07	CRi	Conservatori, Riformisti italiani
IT	politicalGroup	group.GAL.GS.LA-nS.MpA.NPSI.PpI.IdV.VGF	2015-04-21	2015-06-16	GAL (GS, LA-nS, MpA, NPSI, PpI, IdV, VGF)	Grandi Autonomie e Libertà (Grande Sud, Libertà e Autonomia-noi SUD, Movimento per le Autonomie, Nuovo PSI, Popolari per l'Italia, Italia dei Valori, Vittime della Giustizia e del Fisco)
