country	ches	year	pm
AT	-	-	JETZT
AT	BZO	2006	BZÖ
AT	BZO	2010	BZÖ
AT	BZO	2014	BZÖ
AT	FPO	1999	FPÖ
AT	FPO	2002	FPÖ
AT	FPO	2006	FPÖ
AT	FPO	2010	FPÖ
AT	FPO	2014	FPÖ
AT	FPO	2019	FPÖ
AT	GRUNE	1999	GRÜNE
AT	GRUNE	2002	GRÜNE
AT	GRUNE	2006	GRÜNE
AT	GRUNE	2010	GRÜNE
AT	GRUNE	2014	GRÜNE
AT	Grune	2019	GRÜNE
AT	LIF	1999	LIF
AT	LIF	2002	LIF
AT	LIF	2006	LIF
AT	NEOS	2014	NEOS
AT	NEOS	2019	NEOS
AT	OVP	1999	ÖVP
AT	OVP	2002	ÖVP
AT	OVP	2006	ÖVP
AT	OVP	2010	ÖVP
AT	OVP	2014	ÖVP
AT	OVP	2019	ÖVP
AT	SPO	1999	SPÖ
AT	SPO	2002	SPÖ
AT	SPO	2006	SPÖ
AT	SPO	2010	SPÖ
AT	SPO	2014	SPÖ
AT	SPO	2019	SPÖ
AT	TeamStronach	2014	STRONACH
BE	-	-	Agora
BE	-	-	B.U.B.
BE	-	-	BANAAN
BE	-	-	Be.One
BE	-	-	CPB
BE	-	-	CSP
BE	-	-	D-SA
BE	-	-	D95
BE	-	-	De Militant
BE	-	-	DierAnimal
BE	-	-	EFP
BE	-	-	HOERA
BE	-	-	ISLAM
BE	-	-	LSP-PSL
BE	-	-	LesEngagés
BE	-	-	Militant Links
BE	-	-	Open Vld
BE	-	-	PC
BE	-	-	PFF
BE	-	-	PPBE
BE	-	-	PVDA
BE	-	-	PVV
BE	-	-	Pro Bruxsel
BE	-	-	ProDG
BE	-	-	R.W.F.
BE	-	-	ROSSEM
BE	-	-	SAP-GA
BE	-	-	SLP
BE	-	-	SP_duitstalig
BE	-	-	SoLiDe
BE	-	-	VSL
BE	-	-	Vivant
BE	-	-	Vl.Pro
BE	-	-	Vlaams Blok
BE	-	-	Volt
BE	-	-	Vooruit
BE	-	-	Vuye_Wouters
BE	-	-	WOW
BE	-	-	onafhankelijk
BE	AGALEV	1999	Agalev
BE	AGALEV	2002	Agalev
BE	AGALEV	2019	Agalev
BE	CD&V	2002	CD&V
BE	CD&V	2006	CD&V
BE	CD&V	2010	CD&V
BE	CD&V	2014	CD&V
BE	CDH	2002	cdH
BE	CDH	2006	cdH
BE	CDH	2010	cdH
BE	CDH	2014	cdH
BE	CDV	2019	CD&V
BE	CVP	1999	CVP
BE	ECOLO	1999	Ecolo
BE	ECOLO	2002	Ecolo
BE	ECOLO	2006	Ecolo
BE	ECOLO	2010	Ecolo
BE	ECOLO	2014	Ecolo
BE	ECOLO	2019	Ecolo
BE	FDF	1999	DéFi + FDF
BE	FDF	2014	DéFi + FDF
BE	FN	1999	DN + FN
BE	FN	2010	DN + FN
BE	Groen	2006	Groen + Groen!
BE	Groen	2010	Groen + Groen!
BE	Groen	2014	Groen + Groen!
BE	ID21	1999	N-VA
BE	LDD	2010	LDD
BE	MR	2002	MR
BE	MR	2006	MR
BE	MR	2010	MR
BE	MR	2014	MR
BE	NVA	2002	N-VA
BE	NVA	2006	N-VA
BE	NVA	2010	N-VA
BE	NVA	2014	N-VA
BE	PP	2014	PP
BE	PRL	1999	PRL
BE	PRL/MR	2019	PRL
BE	PS	1999	PS
BE	PS	2002	PS
BE	PS	2006	PS
BE	PS	2010	PS
BE	PS	2014	PS
BE	PS	2019	PS
BE	PSC	1999	PSC
BE	PSC/CDH	2019	PSC
BE	PVDA	2010	PTB + PVDA-PTB
BE	PVDA	2014	PTB + PVDA-PTB
BE	PVDA-PTB	2019	PTB + PVDA-PTB
BE	PVV/VLD	1999	VLD
BE	SP	1999	SP
BE	SP	2002	SP
BE	SP/SPA	2019	sp.a
BE	SPA	2006	sp.a
BE	SPA	2010	sp.a
BE	SPA	2014	sp.a
BE	Spirit	2010	Spirit
BE	VB	1999	VB
BE	VB	2002	VB
BE	VB	2006	VB
BE	VB	2010	VB
BE	VB	2014	VB
BE	VB	2019	VB
BE	VLD	2002	VLD
BE	VLD	2006	VLD
BE	VLD	2010	VLD
BE	VLD	2014	VLD
BE	VLD/PVV	2019	VLD
BE	VU	1999	Volksunie
BE	VU/NVA	2019	Volksunie
BG	-	-	ABV
BG	-	-	AP
BG	-	-	BDC-NU
BG	-	-	BSPFB
BG	-	-	BSPLB
BG	-	-	CoalAP
BG	-	-	DABG
BG	-	-	DSB
BG	-	-	GERB
BG	-	-	GERB-UDF
BG	-	-	GrMov
BG	-	-	ITN
BG	-	-	MRF
BG	-	-	PF
BG	-	-	RB
BG	-	-	RP
BG	-	-	RUBGWC
BG	-	-	RUTO
BG	-	-	TISP
BG	-	-	UP
BG	-	-	VOLYA
BG	-	-	WCC
