Country	PersonID	Role	From	To	GovtTermID	MinistryID	orgName-xx	orgName-en	URL	Comment
HR	BošnjakovićDražen	minister	2017-06-10	2020-07-23	14th cabinet	-	Ministarstvo pravosuđa i uprave	Ministry of Justice	-	-
HR	OpačićMilanka	minister	2011-12-23	2016-01-22	12th cabinet	-	Ministarstvo socijalne politike i mladih	Ministry of Social Politics and Youth	-	-
HR	PusićVesna	minister	2011-12-23	2016-01-22	12th cabinet	-	Ministarstvo vanjskih i europskih poslova	Ministry of Foreign and European Affairs	https://en.wikipedia.org/wiki/Ministry_of_Foreign_and_European_Affairs_(Croatia)	-
HR	BaukArsen	minister	2011-12-23	2016-01-22	12th cabinet	-	Ministarstvo uprave	Ministry of Public Administration	https://en.wikipedia.org/wiki/Ministry_of_Public_Administration_(Croatia)	-
HR	CappelliGari	minister	2016-10-20	2020-07-23	14th cabinet	-	Ministarstvo turizma i sporta	Ministry of Tourism and Sports	-	-
HR	GrčićBranko	minister	2011-12-23	2016-01-22	12th cabinet	-	Ministarstvo regionalnoga razvoja i fondova Europske unije	Ministry of Regional Development and EU Funds	https://en.wikipedia.org/wiki/Ministry_of_Regional_Development_and_EU_Funds_(Croatia)	-
HR	KotromanovićAnte	minister	2011-12-23	2016-01-22	12th cabinet	-	Ministarstvo obrane Republike Hrvatske	Ministry of Defence	https://en.wikipedia.org/wiki/Ministry_of_Defence_(Croatia)	-
HR	MarićGoran	minister	2016-11-15	2019-07-15	13/14th cabinet	-	Ministarstvo državne imovine	Ministry of State Property	https://en.wikipedia.org/wiki/Ministry_of_State_Property_(Croatia)	-
HR	MrsićMirando	minister	2011-12-23	2016-01-22	12th cabinet	-	Ministarstvo rada i mirovinskog sustava	Ministry of Labour and Pension System	https://en.wikipedia.org/wiki/Ministry_of_Labour_and_Pension_System,_Family_and_Social_Policy	-
HR	OstojićRanko	minister	2011-12-13	2016-01-22	12th cabinet	-	Ministarstvo unutarnjih poslova Republike Hrvatske	Ministry of the Interior	https://en.wikipedia.org/wiki/Ministry_of_the_Interior_(Croatia)	-
HR	PejčinovićBurićMarija	minister	2017-06-20	2019-07-22	14th cabinet	-	Ministarstvo vanjskih i europskih poslova	Ministry of Foreign and European Affairs	-	-
HR	BožinovićDavor	minister	2017-06-10	-	14/15th cabinet	-	Ministarstvo unutarnjih poslova Republike Hrvatske	Ministry of the Interior	-	-
HR	MurganićNada	minister	2016-10-20	2019-07-17	14th cabinet	-	Ministarstvo demografije, obitelji, mladih i socijalne politike	Ministry of Demographics, Family, Youth and Social Policy	https://en.wikipedia.org/wiki/Ministry_of_Demographics,_Family,_Youth_and_Social_Policy	-
HR	ZmajlovićMihael	minister	2012-06-13	2016-01-22	12th cabinet	-	Ministarstvo zaštite okoliša i energetike	Ministry of Environmental Protection and Energy	https://en.wikipedia.org/wiki/Ministry_of_Environmental_Protection_and_Energy_(Croatia)	-
HR	DalićMartina	minister	2016-10-20	2018-05-14	14th cabinet	-	Ministarstvo gospodarstva i održivog razvoja	Ministry of Economy and Sustainable Development	-	-
HR	StierDavorIvo	minister	2016-10-20	2017-06-19	14th cabinet	-	Ministarstvo vanjskih i europskih poslova	Ministry of Foreign and European Affairs	-	-
