ParlaMint-BE_2019-03-14-54-plenair-ip274x.u1	[[De voorzitter:]] De vergadering is geopend. La séance est ouverte.
ParlaMint-BE_2019-03-14-54-plenair-ip274x.u2	Overeenkomstig het advies van de Conferentie van voorzitters van 13 maart 2019, stel ik u voor op de agenda van de plenaire vergadering van deze namiddag in te schrijven: Conformément à l'avis de la Conférence des présidents du 13 mars 2019, je vous propose d'inscrire à l'ordre du jour de la séance plénière de cet après-midi: de bespreking van de punten 12 en 13 na de bespreking van punt 2: 12. het wetsontwerp betreffende de gerechtskosten in strafzaken en gelijkgestelde kosten, nrs 3412/1 tot 7; 13. het wetsvoorstel (de heren Gautier Calomne en Philippe Goffin, mevrouw Sybille de Coster-Bauchau en de heren Raf Terwingen, Egbert Lachaert, Stefaan Van Hecke, Christian Brotcorne, Peter Vanvelthoven en Patrick Dewael en mevrouw Carina Van Cauter) tot wijziging van het Burgerlijk Wetboek, teneinde te bepalen dat op zon- en/of feestdagen huwelijken mogen worden voltrokken, nrs 3564/1 tot 4. la discussion des points 12 et 13 après la discussion du point 2: 12. le projet de loi concernant les frais de justice en matière pénale et les frais assimilés, nos 3412/1 à 7; 13. la proposition de loi (MM. Gautier Calomne et Philippe Goffin, Mme Sybille de Coster-Bauchau et MM. Raf Terwingen, Egbert Lachaert, Stefaan Van Hecke, Christian Brotcorne, Peter Vanvelthoven et Patrick Dewael et Mme Carina Van Cauter) modifiant le Code civil afin d'autoriser la célébration des mariages les dimanches et/ou jours fériés, nos 3564/1 à 4. Geen bezwaar? [[(Nee)]] Aldus wordt besloten. Pas d'observation? [[(Non)]] Il en sera ainsi.
ParlaMint-BE_2019-03-14-54-plenair-ip274x.u3	Ik heb amendementen ontvangen op het wetsvoorstel (de heren Elio Di Rupo, Paul-Olivier Delannois, mevrouw Fabienne Winckel, de heren Jean-Marc Delizée, Frédéric Daerden, Daniel Senesael en Frank Wilrycx) tot wijziging van het koninklijk besluit van 20 juli 1971 houdende instelling van een uitkeringsverzekering en een moederschapsverzekering ten voordele van de zelfstandigen en van de meewerkende echtgenoten, teneinde de wachttijd op te heffen, nr. 3098/7. J'ai reçu des amendements sur la proposition de loi (MM. Elio Di Rupo, Paul-Olivier Delannois, Mme Fabienne Winckel, MM. Jean-Marc Delizée, Frédéric Daerden, Daniel Senesael et Frank Wilrycx) modifiant l'arrêté royal du 20 juillet 1971 instituant une assurance indemnités et une assurance maternité en faveur des travailleurs indépendants et des conjoints aidants, en vue de supprimer la période de carence, n° 3098/7. Ik stel u voor deze amendementen te verzenden naar de commissie voor het Bedrijfsleven, het Wetenschapsbeleid, het Onderwijs, de nationale wetenschappelijke en culturele Instellingen, de Middenstand en de Landbouw (art. 93, nr. 1, Reglement). Je vous propose d’envoyer ces amendements à la commission de l'Economie, de la Politique scientifique, de l'Education, des Institutions scientifiques et culturelles nationales, des Classes moyennes et de l'Agriculture (art. 93, n° 1 du Règlement). Het wetsvoorstel zal, na bespreking van de amendementen in commissie, vandaag in plenaire vergadering worden behandeld. La discussion de la proposition de loi sera poursuivie en séance plénière, après examen des amendements en commission. Ik meen mij te herinneren – ik vind het niet meteen terug – dat de commissievergadering zal plaatsvinden na de mondelinge vragen. Geen bezwaar? [[(Nee)]] Aldus zal geschieden. Pas d'observation? [[(Non)]] Il en sera ainsi.
ParlaMint-BE_2019-03-14-54-plenair-ip274x.u4	[[03.01 Georges Gilkinet (Ecolo-Groen):]] Monsieur le premier ministre, les propos répercutés ce matin par l'écho de votre ministre des Pensions, M. Bacquelaine, sont de la provocation et du sabotage, une fois de plus. Au début de ce mois, les partenaires sociaux se sont mis d'accord, d'une part, sur un accord interprofessionnel (avec des progressions salariales et des conditions de fin de carrière) et, d'autre part, tel que le prévoit le pacte des générations, sur le relèvement des allocations les plus basses pour éviter un trop grand décrochage par rapport aux salaires. Dans la foulée et depuis cette même tribune, je vous invitais à vous mettre du côté des solutions et à honorer pleinement cet accord. Un accord qui est essentiel, à la fois pour la paix sociale et pour les conditions de vie des plus fragiles d'entre nous afin d'éviter que davantage de travailleurs encore ne basculent dans la pauvreté. Même le chef de groupe du MR, M. Clarinval, disait à cette même tribune: "Nous vous encourageons à poursuivre pour valider le plus rapidement possible cet accord interprofessionnel dans sa totalité". Patatras, aujourd'hui, une voix discordante s'exprime dans les rangs du MR, celle du ministre Bacquelaine qui refuse les propositions des partenaires sociaux eu égard au relèvement des pensions les plus basses et qui, en d'autres mots, vous invite à ne pas honorer l'accord interprofessionnel, qui veut le saboter. Monsieur le premier ministre, c'est inacceptable! Nous commençons à avoir l'habitude des brouillages de messages, des voix discordantes, des messages contradictoires de votre parti. Entre les néolibéraux et les gauchistes de droite, j'avoue que je ne m'y retrouve plus très bien. Il m'est difficile de suivre la ligne. Je vous demande simplement monsieur le premier ministre: qui faut-il croire? Est-ce M. Clarinval ou M. Bacquelaine? Vous engagez-vous à honorer intégralement l'accord des partenaires sociaux pour ce qui concerne le relèvement des allocations les plus basses, en l'occurrence les pensions? Monsieur le premier ministre, un accord est un accord!
ParlaMint-BE_2019-03-14-54-plenair-ip274x.u5	[[03.02 Frédéric Daerden (PS):]] Monsieur le premier ministre, depuis cinq ans, votre conception de la négociation sociale a été de vous asseoir du côté des patrons pour mettre le couteau sous la gorge des travailleurs pour imposer vos positions; une concertation du gouvernement avec les patrons contre les travailleurs qui n'avaient que rarement droit au chapitre. Votre gouvernement étant en affaires courantes, les choses ont pu évoluer. Un projet d'accord interprofessionnel (AIP) a pu être présenté. On voit la différence. Cela dit, tous les partenaires s'accordent à considérer que ce projet d'accord est particulièrement délicat. En effet, sous votre gouvernement, les travailleurs ont été malmenés comme jamais: vous les avez obligés à travailler jusqu'à 67 ans, vous leur avez imposé un saut d'index et vous avez surtout modifié la loi pour empêcher l'augmentation des salaires. Dans ce contexte, évidemment, la marge est faible: 1,1 %. C'est certes mieux que 0,8 %, mais je comprends que les travailleurs aient du mal à l'accepter. L'encre du projet d'accord n'était pas encore sèche que vos partenaires du Vld le remettaient déjà en cause, suivis évidemment par la N-VA, toujours prête à vous aider contre les travailleurs. Mais aujourd'hui - et ça c'est le sommet - un membre de votre gouvernement, de votre parti, décide de torpiller le projet d'AIP et surtout, la répartition de l'enveloppe bien-être. Monsieur le premier ministre, remettez de l'ordre dans vos rangs! Soyez clair! Votre gouvernement soutient-il le projet d'AIP et la répartition de l'enveloppe bien-être? S'il est confirmé dans les prochaines semaines, vous engagez-vous à le mettre pleinement en œuvre?
ParlaMint-BE_2019-03-14-54-plenair-ip274x.u6	[[03.03 Jan Spooren (N-VA):]] Mijnheer de voorzitter, mijnheer de premier, twee weken geleden vond hier in de plenaire vergadering ook al een uitgebreid debat plaats over het sociaal akkoord binnen de Groep van Tien. De N-VA-fractieleider heeft toen benadrukt dat de N-VA voorstander is van de mogelijkheid om 1,1 % loonsverhoging toe te kennen ter versterking van de koopkracht van de werknemers, die trouwens al mogelijk is gemaakt door het goede werk van de regering-Michel I. Wij hebben tijdens die vergadering ook duidelijk gemaakt dat wij absoluut niet akkoord kunnen gaan met een aantal onderdelen van dat sociaal akkoord, omdat deze beslist het beleid van de regering-Michel I terugdraaien en vooral omdat ze nadelig zijn voor de betaalbaarheid van onze sociale zekerheid. De focus lag toen vooral op de verlaging van de instapleeftijd voor het SWT, waarvan ondertussen gebleken is dat de impact ervan toch wel iets groter is dan de sociale partners hebben laten uitschijnen. Toen was het al duidelijk dat daarover een fundamentele onenigheid bestond binnen uw overblijvende regering-Michel II. Open Vld heeft daarbij met veel overtuiging aangekondigd nooit ofte nimmer dat deel van het interprofessioneel akkoord te zullen goedkeuren, waarvoor collega Lachaert applaus kreeg op verschillende banken in dit halfrond. Als klap op de vuurpijl werd gisteren duidelijk dat minister Bacquelaine, de minister van Pensioenen, met wie ik al een tijdlang werk en die ik als een zeer moedig en verstandig man ken, zich ook niet kan vinden in het ontwerpakkoord van de sociale partners. Hij heeft u daarover zelfs een brief geschreven. Heel concreet gaat hij niet akkoord met het voorstel dat de minimumpensioenen voor mensen met een volledige loopbaan minder snel zouden stijgen dan voor degenen met een onvolledige loopbaan. Die kritiek is terecht, want dat voorstel gaat lijnrecht in tegen de filosofie van eerder beslist beleid door Michel I om de band tussen het aantal gewerkte jaren en de pensioenuitkering te versterken. De N-VA is het voor honderd procent eens met de inhoudelijke kritiek van minister Bacquelaine, alsook met zijn standpunt dat het de sociale partners niet toekomt om zulke modaliteiten inzake de pensioenberekeningen vast te leggen. Bent u het als eerste minister eens met het standpunt en de kritiek van uw minister van Pensioenen? Nog veel belangrijker, blijft u bij uw standpunt dat de regering het gehele interprofessioneel akkoord in al zijn onderdelen zal uitvoeren, ondanks groeiend verzet van Open Vld en binnen uw eigen MR, en ondanks het feit dat er zaken in het akkoord staan die lijnrecht indruisen tegen het beleid dat u vier jaar lang samen met ons gevoerd hebt?
ParlaMint-BE_2019-03-14-54-plenair-ip274x.u7	[[03.04 Catherine Fonck (cdH):]] Monsieur le président, monsieur le premier ministre, venant d'entendre mon collègue, j'ai l'impression qu'au travers du courrier en question, le ministre Bacquelaine s'est fait le porte-parole de la N-VA. Voici quinze jours, c'est vous-même qui vous êtes réjoui ici de ce projet d'AIP entre les partenaires sociaux. Il est vrai qu'aussi vite, l'Open Vld et la N-VA ont tenté de torpiller l'accord. Or le MR semblait le soutenir. Ce matin, c'est le pompon: nous apprenons que votre ministre des Pensions, que vous croisez aussi au sein de votre parti – dont vous êtes le président – vous a écrit un courrier. On se demande bien pourquoi! Puis, ce courrier tombe du camion et se retrouve dans la presse, si bien qu'on peut se demander si ce n'est pas plutôt un communiqué de presse. M. Bacquelaine vous glisse quand même une fameuse peau de banane sous le pied! "C'est vrai", me dites-vous. Votre attitude est assez révélatrice. Il a non seulement voulu torpiller l'accord – comme porte-parole de la N-VA, c'est normal … –, mais de plus il vous torpille également. Il y a de quoi s'inquiéter de la tournure des événements prise au sein de votre gouvernement. Venons-en au contenu, qui est encore plus étonnant. En gros, le ministre Bacquelaine explique que ce projet d'accord, que vous souteniez censément, est contraire à la politique du gouvernement. Il ajoute que vous commettez une erreur en soutenant ce projet d'AIP. Monsieur le premier ministre, à l'inverse de ce à quoi on assiste au sein de votre gouvernement minoritaire, nous, nous soutenons ce projet d'AIP, parce qu'il est non seulement positif pour les travailleurs et les employeurs, mais qu'il l'est aussi pour la paix sociale, ainsi que pour l'emploi et l'enveloppe bien-être. Loin des postures électoralistes adoptées au sein de votre gouvernement, c'est depuis l'opposition que nous le soutenons. Vous êtes le premier ministre. Quelle sera dès lors votre attitude? Allez-vous soutenir ce projet d'AIP - pas seulement vous, en tant que premier ministre, mais également votre ministre des Pensions et le gouvernement tout entier?
ParlaMint-BE_2019-03-14-54-plenair-ip274x.u8	[[03.05 Raoul Hedebouw (PTB-GO!):]] Monsieur le président, monsieur le premier ministre, un projet d'accord interprofessionnel (AIP) avait donc été soumis voici deux semaines. Le MR était chaud pour soutenir ce projet d'accord. Il y avait plus d'une remarque à faire sur ce projet d'AIP, soyons très clair sur ce point. Les travailleurs sont en colère en raison de la faible augmentation salariale de 1,1 % proposée alors que les bénéfices se maintiennent en Belgique. C'est dégoûtant de leur proposer seulement 1 % d'augmentation. Il y avait donc plus d'une raison de rejeter cet AIP. Aujourd'hui, on entend qu'il y a même des gauchistes dans les rangs du MR! Peut-être allaient-ils demander une augmentation des salaires, que sais-je? Je ne sais pas ce que pensent les gauchistes de droite! Évidemment, c'est le fait d'être à droite qui pèse davantage que le fait d'être gauchiste à droite. On va d'ailleurs lui demander si 1 % est de droite ou gauchiste! Je le répète, il existait donc plus d'une raison de rejeter cet AIP mais qu'entend-on de la part d'un membre du MR? Clairement pas gauchiste lui, M. Bacquelaine! Il intervient pour dire que cet AIP ne doit pas être signé. Pourquoi? Écoutez bien la raison invoquée! Parce que M. Bacquelaine s'oppose au fait qu'on augmente de 2,4 % les pensions minimales pour les travailleurs qui n'ont pas de pension complète. C'est dégoûtant! Chers collègues, qui sont ces travailleurs? Qui sont ces travailleuses qui n'ont pas une carrière complète? Neuf femmes sur dix! Negen op tien vrouwen heeft geen carrière van 45 jaar. Als minister Bacquelaine zegt dat er geen verhoging met 2,4 % komt, dan zegt hij tegen al die vrouwen dat zij geen verhoging met 2,4 % mogen krijgen. Dat is zonder meer schandalig, beste collega's. Le PTB a sorti une étude selon laquelle une femme sur trois en Belgique reçoit une pension de moins de 750 euros. Les raisons sont très claires. Vous avez créé, chers députés de droite, cette inégalité. Quand M. Bacquelaine dit partout qu'on augmente les pensions minimales, il oublie souvent de rajouter que cela vaut uniquement pour ceux qui ont des carrières complètes. C'est un mensonge par omission. Le ministre n'est pas présent mais il faut le lui dire. L'idéologie qui se cache derrière cela, chers collègues libéraux et c'est ce qui est dégoûtant, c'est que vous considérez que les femmes qui n'ont pas de carrière complète sont seules responsables de ce fait. C'est de leur faute. C'est dû à leurs propres choix. Or, vous savez que c'est faux. C'est parce qu'elles s'occupent de la famille, sinon vous ne les sanctionneriez pas! Monsieur le premier ministre, allez-vous revenir sur cette décision de votre ministre des Pensions de sanctionner une fois de plus les femmes parce qu'elles n'ont pas une carrière complète de 45 ans? Allez-vous enfin soutenir tous les pensionnés qui en ont besoin dans ce pays?
ParlaMint-BE_2019-03-14-54-plenair-ip274x.u9	[[03.06 Eerste minister Charles Michel:]] Mijnheer de voorzitter, beste collega's, twee weken geleden hadden wij inderdaad de kans om een grondig en boeiend – zoals steeds op donderdagnamiddag – debat te voeren hier in de Kamer over het IPA. En ik bevestig elke letter van mijn uiteenzetting van twee weken geleden. Het interprofessioneel akkoord is positief, het principe van het akkoord is positief, omdat het in de toekomst meer ruimte zal geven voor sociale rust, omdat het goed is voor de competitiviteit van de bedrijven en omdat het meer loonmarge geeft. Ik heb twee weken geleden ook gezegd dat, zowel voor de werkgevers als voor de werknemers, dit akkoord een geheel vormt. J'ai aussi expliqué que, pour les patrons comme pour les syndicats, cet accord était envisagé de manière globale. Chaque formation a eu l'occasion de se positionner. Dans cette assemblée, certains critiquent, d'autres marquent leur soutien. Ils ne soutiennent pas nécessairement chacun des points de l'accord. Plusieurs groupes ont exprimé leur soutien, considérant de façon générale les différents points: plus de pouvoir d'achat, le soutien aux plus fragiles au travers de l'enveloppe bien-être et la capacité de définir des soutiens additionnels en lien, par exemple, avec la mobilité. Le groupe MR s'est exprimé par la voix de son chef de groupe, par le vice-premier ministre également lors des décisions qui ont été prises au kern et une position a été exprimée sur le sujet. Je persiste et je signe. Le ministre des Pensions adresse - c'est normal en vu de ses compétences - des informations au premier ministre et à ses collègues sur les conséquences des propositions des partenaires sociaux. En faisant cela, il ne remet pas en cause l'intégralité de l'accord interprofessionnel mais il s'agit de considérer qu'il y a un point d'attention que je veux souligner ici. C'est la question de l'encouragement - le soutien - des carrières complètes. Contrairement à vos propos, monsieur Hedebouw, les dernières augmentations pour les carrières complètes ont bien davantage bénéficié aux femmes qu'aux hommes: 200 000 femmes en ont bénéficié. C'est bien plus que pour les hommes. Pour être concret, ce gouvernement, depuis quatre ans, a libéré plus d'un milliard d'euros pour soutenir les pensions plus basses. Pour reprendre l'exemple des pensions minimales des salariés, c'est 130 euros supplémentaires par mois. C'est très concret, c'est très précis. Nog een woordje voor onze collega van de N-VA: ik herhaal dat de regering al een eerste IPA heeft goedgekeurd, waarbij ook 100 % van de welvaartsenveloppe werd gebruikt, met de steun van de N-VA. Men mag dat niet vergeten. Que va-t-il se passer? Tout simplement, les syndicats vont poursuivre leur phase de consultations, comme je l'ai indiqué il y a deux semaines. Une fois qu'une décision aura été prise par les syndicats, elle sera communiquée au gouvernement. Trois types de démarches doivent être faites. Des démarches législatives doivent être entamées pour un certain nombre de sujets, pour lesquels des textes sont peut-être nécessaires. De plus, une démarche réglementaire doit être entreprise via des arrêtés royaux. En outre, le Conseil national du Travail aura un rôle à jouer, notamment en lien avec le débat qui a été mené ici il y a deux semaines. Je réponds à l'ensemble des collègues, en espérant que mon propos clarifie que rien n'a changé. Pas un iota n'a changé depuis deux semaines sur le sujet. Ce courrier ne peut pas être interprété comme une remise en cause de l'accord dans son ensemble. C'est simplement une façon d'attirer l'attention sur cette question des carrières complètes et un encouragement à lier la pension au travail effectivement presté. Il ne s'agit pas de contester ou de remettre en cause ce volet de l'accord qui a été conclu.
ParlaMint-BE_2019-03-14-54-plenair-ip274x.u10	[[03.07 Georges Gilkinet (Ecolo-Groen):]] Monsieur le premier ministre, vous ne répondez pas à la question. Allez-vous suivre la voie des partenaires sociaux ou la voie de M. Bacquelaine en matière de relèvement des pensions les plus basses? Monsieur le premier ministre, la loi, c'est la loi. C'est le Pacte des générations. Un accord, c'est un accord. C'est l'accord des partenaires sociaux. Quand les partenaires sociaux vous disent que vous devez relever toutes les pensions les plus basses, y compris celles pour carrières incomplètes, ils savent ce qu'ils font. Ils veulent corriger des actes posés par votre gouvernement, qui désavantagent les femmes, les travailleuses, qui sont bien plus nombreuses à avoir des carrières incomplètes que les hommes. C'est pour cela que votre mesure est mauvaise. C'est pour cela que les partenaires sociaux vous tendent la main et vous proposent de la corriger. Monsieur le premier ministre, j'attendais de votre part un engagement clair à appliquer la proposition des partenaires sociaux pour ce qui concerne les plus basses pensions. Vous n'avez pas clarifié votre position. Vous n'avez pas dit que vous alliez choisir les partenaires sociaux à la place de M. Bacquelaine. C'est très grave. Nous vous suivrons jusqu'au bout sur ce dossier.
ParlaMint-BE_2019-03-14-54-plenair-ip274x.u11	[[03.08 Frédéric Daerden (PS):]] Monsieur le premier ministre, pour une fois, vous me rassurez. Vous me rassurez en désavouant M. Bacquelaine. Indiscutablement, votre ministre MR des Pensions méprise la concertation sociale. Indiscutablement, votre ministre MR n'aime pas les gens qui n'ont pas l'opportunité d'avoir une carrière complète. Vous ne le suivrez pas, j'en suis ravi.
