ParlaMint-BE_2019-10-03-55-plenair-ip007x.u1	[[Le président:]] La séance est ouverte. De vergadering is geopend.
ParlaMint-BE_2019-10-03-55-plenair-ip007x.u2	Par lettre du 3 octobre 2019, le premier ministre transmet copie de l'arrêté royal du 2 octobre 2019 intitulé "Gouvernement – Démission – Nomination - Modification". Bij brief van 3 oktober 2019 zendt de eerste minister een afschrift over, van het koninklijk besluit van 2 oktober 2019 met als opschrift "Regering – Ontslag – Benoeming- Wijziging".
ParlaMint-BE_2019-10-03-55-plenair-ip007x.u3	Par lettre du 18 septembre 2019 M. Jean-Marc Nollet a annoncé sa démission à partir d’aujourd’hui. La suppléante appelée à le remplacer est Mme Laurence Hennuy, suppléante de la circonscription électorale du Hainaut. De heer Jean-Marc Nollet heeft bij brief van 18 september 2019 zijn ontslag met ingang van vandaag aangekondigd. De opvolgster die hem zal vervangen, is mevrouw Laurence Hennuy, opvolgster voor de kieskring Henegouwen. M. Wouter Beke, Mme Zuhal Demir et M. Jan Jambon ont prêté serment comme membre du gouvernement flamand. De heer Wouter Beke, mevrouw Zuhal Demir en de heer Jan Jambon hebben de eed afgelegd als lid van de Vlaamse regering. L'article 59 de la loi spéciale du 8 août 1980 de réformes institutionnelles dispose que le membre de la Chambre des représentants élu membre du gouvernement wallon, du gouvernement de la Communauté française ou du gouvernement flamand, cesse immédiate­ment de siéger et reprend son mandat lorsque ses fonctions de ministre prennent fin. Artikel 59 van de bijzondere wet van 8 augustus 1980 tot hervorming der instellingen bepaalt dat een lid van de Kamer van volksvertegenwoordigers dat gekozen wordt tot lid van de Vlaamse regering, van de Waalse regering of van de Franse gemeenschapsregering onmiddellijk ophoudt zitting te hebben en zijn mandaat weer opneemt wanneer zijn ambt van minister een einde neemt. L'article 1bis de la loi du 6 août 1931 établissant des incompatibilités et interdictions concernant les ministres, anciens ministres et ministres d'État, ainsi que les membres et anciens membres des Chambres législatives dispose que le membre de la Chambre des représentants qui cesse de siéger par suite de sa nomination en qualité de ministre ou de secrétaire d'État du gouvernement fédéral ou par suite de son élection en qualité de ministre ou de secrétaire d'État d'un gouvernement régional ou communautaire, est remplacé par le premier suppléant en ordre utile de la liste sur laquelle il a été élu. Artikel 1bis van de wet van 6 augustus 1931 houdende vaststelling van de onverenigbaarheden en ontzeggingen betreffende de ministers, gewezen ministers en ministers van Staat, alsmede de leden en gewezen leden van de wetgevende Kamers bepaalt dat een lid van de Kamer van volksvertegenwoordigers dat ophoudt zitting te hebben ten gevolge van zijn benoeming tot minister of staatssecretaris van de federale regering of zijn verkiezing tot minister of staatssecretaris van een gewest- of gemeenschapsregering wordt vervangen door de eerst in aanmerking komende opvolger van de lijst waarop hij gekozen is. Aujourd’hui nous procédons donc à l'admission et à la prestation de serment des suppléants suivants: - Mme Laurence Hennuy, suppléante de la liste Ecolo de la circonscription électorale du Hainaut, en remplacement de M. Jean-Marc Nollet; - M. Wim Van der Donckt, suppléant de la liste N-VA de la circonscription électorale d’Anvers, en remplacement de M. Jan Jambon; - M. Joy Donné, suppléant de la liste N-VA de la circonscription électorale du Limbourg, en remplacement de Mme Zuhal Demir. Wij gaan vandaag dus over tot de toelating en de eedaflegging van de volgende opvolgers: - mevrouw Laurence Hennuy, opvolgster op de Ecolo-lijst van de kieskring Henegouwen, ter vervanging van de heer Jean-Marc Nollet; - de heer Wim Van der Donckt, opvolger op de N-VA-lijst van de kieskring Antwerpen, ter vervanging van de heer Jan Jambon; - de heer Joy Donné, opvolger op de N-VA-lijst van de kieskring Limburg, ter vervanging van mevrouw Zuhal Demir. De heer Steven Matheï, opvolger op de CD&V-lijst van de kieskring Limburg, ter vervanging van de heer Wouter Beke, heeft mij laten weten dat hij wegens medische redenen vandaag in de onmogelijkheid is om zijn eed af te leggen. Zijn eedaflegging zal plaatsvinden in een volgende vergadering. Les pouvoirs de ces suppléants ont été validés en notre séance 20 juin 2019. De geloofsbrieven van deze opvolgers werden tijdens onze vergadering van 20 juni 2019 geldig verklaard. Comme la vérification complémentaire, prévue par l'article 235 du Code électoral, ne porte que sur la conservation des conditions d'éligibilité, il apparaît que cette vérification, n'a, au vu des pièces obtenues, qu'un caractère de pure formalité. Daar het aanvullend onderzoek door artikel 235 van het Kieswetboek voorgeschreven, uitsluitend slaat op het behoud van de verkiesbaarheids­vereisten, gaat het, gelet op de verkregen stukken, in de huidige omstandigheden om een loutere formaliteit. Pas d'observation? [[(Non)]] Il en sera ainsi. Geen bezwaar? [[(Nee)]] Aldus wordt besloten. Je rappelle que les membres élus par les collèges électoraux relevant de la région de langue française font partie du groupe linguistique français et les membres élus par les collèges électoraux relevant de la région de langue néerlandaise font partie du groupe linguistique néerlandais. Ik herinner eraan dat de leden gekozen door de kiescolleges die behoren tot het Franse taalgebied deel uitmaken van de Franse taalgroep en dat de leden gekozen door de kiescolleges die behoren tot het Nederlandse taalgebied deel uitmaken van de Nederlandse taalgroep. Je rappelle les termes du serment: "Je jure d'observer la Constitution" "Ik zweer de Grondwet na te leven" "Ich schwöre die Verfassung zu befolgen". Ik memoreer de bewoordingen van de eed: "Ik zweer de Grondwet na te leven" "Je jure d'observer la Constitution" "Ich schwöre die Verfassung zu befolgen". Je prie Mme Laurence Hennuy de prêter le serment constitutionnel. Ik verzoek mevrouw Laurence Hennuy de grondwettelijke eed af te leggen.
ParlaMint-BE_2019-10-03-55-plenair-ip007x.u4	Mme. Laurence Hennuy fera partie du groupe linguistique français. Mevrouw Laurence Hennuy zal deel uitmaken van de Franse taalgroep. Je prie M. Wim Van der Donckt de prêter le serment constitutionnel. Ik verzoek de heer Wim Van der Donckt de grondwettelijke eed af te leggen.
ParlaMint-BE_2019-10-03-55-plenair-ip007x.u5	M. Wim Van der Donckt fera partie du groupe linguistique néerlandais. De heer Wim Van der Donckt zal deel uitmaken van de Nederlandse taalgroep. Je prie M. Joy Donné de prêter le serment constitutionnel. Ik verzoek de heer Joy Donné de grondwettelijke eed af te leggen.
ParlaMint-BE_2019-10-03-55-plenair-ip007x.u6	M. Joy Donné fera partie du groupe linguistique néerlandais. De heer Joy Donné zal deel uitmaken van de Nederlandse taalgroep. De eedaflegging van de heer Steven Matheï wordt verschoven naar een volgende vergadering.
ParlaMint-BE_2019-10-03-55-plenair-ip007x.u7	Par message du 23 septembre 2019, le Parlement flamand fait connaître qu'il s'est constitué en sa séance de ce jour. Bij brief van 23 september 2019 brengt het Vlaams Parlement ons ter kennis dat het ter vergadering van die dag voor wettig en voltallig verklaard is.
ParlaMint-BE_2019-10-03-55-plenair-ip007x.u8	[[04.01 Marijke Dillen (VB):]] Mijnheer de minister, vooreerst feliciteer ik u, want u zit hier nog, terwijl verschillende van uw collega's het hazenpad hebben gekozen. Dat siert u. Ik kom tot mijn vraag. De cipiers in de gevangenis van Antwerpen hebben het werk nu al sinds bijna een week neergelegd. Ik heb begrepen dat hun collega's van Leuven Centraal vandaag uit solidariteit eveneens het werk hebben neergelegd. Ze zijn het beu dat er al jarenlang niet geluisterd wordt naar hun terechte verzuchtingen. Ze zijn het beu dat het statuut steeds minder aantrekkelijk wordt en dat er op hun pensioenrechten beknibbeld wordt. Ze zijn het ook beu dat ze hun vakantie niet mogen opnemen. Ik heb met cipiers gepraat die nog meer dan vijf maanden vakantie tegoed hebben, maar die gewoon niet kunnen opnemen. Volgens cijfers van de vakbond bedraagt het totale aantal dagen op nationaal vlak 540.000. Daarnaast zijn ze het beu dat de werkdruk blijft toenemen. Dat is enerzijds een gevolg van de overbevolking. In Antwerpen is er plaats voor 450 gedetineerden, terwijl er nu bijna 700 gedetineerden in voorhechtenis zitten. Anderzijds is het een gevolg van de onderbezetting op personeelsvlak. Toen afgelopen vrijdag de staking uitbrak, was er een tekort van 21 cipiers op een kader van 50. Dat was de spreekwoordelijke druppel die ten grondslag lag aan de staking. Mijnheer de minister, mijn vraag aan u is dan ook zeer duidelijk. Wanneer zal de regering eindelijk werk maken van een definitieve, gegronde oplossing voor de terechte verzuchtingen van de cipiers? Uiteraard moet die gekoppeld worden aan voldoende financiële middelen.
ParlaMint-BE_2019-10-03-55-plenair-ip007x.u9	[[04.02 Minister Koen Geens:]] Mevrouw Dillen, ik dank u, ten eerste, voor uw felicitaties. De heer Francken herinnert mij aan de spreuk van het Huis van Oranje, die ook de spreuk van Nassau is geworden. Ze is – excuseer mij – helaas in het Frans, maar ik gebruik ze zelf graag:je maintiendrai. De gevangenis te Antwerpen is een van de beste in het land, niet qua infrastructuur. Dat besef ik. Blue Gate is echter in aanbouw. De klimatologie van die gevangenis gaat mij erg ter harte. Ik ken ze ook vrij goed. Ik heb afgelopen week de vakbonden ontvangen. Ik heb hun medegedeeld dat zij op elk moment opnieuw welkom waren. Hun vraag was om in stakingsregime te mogen werken. Dat wil zeggen dat er om de andere dag wandeling en om de andere dag bezoek is. Ik heb er voorlopig voor geopteerd niet aan dat verzoek toe te geven. Een dergelijke regime opent immers in vele gevangenissen de weg om dat steeds toe te passen, zodra er een paar personeelsleden van het operationele kader te kort zijn. Mag ik u opmerken dat in Antwerpen het operationele kader plus zes aanwezig is? Dat is niet kwaad. Mag ik u er ook op wijzen dat het vandaag in Vlaanderen heel moeilijk is om penitentiaire agenten te vinden? Ik doe al meer dan twee jaar mijn uiterste best om ze te vinden. Ik zal ook de hele tijd met de vakbonden in overleg blijven, om te vermijden dat de situatie uitdeint. Ik heb voor onze gevangenen echter niet graag dat het personeel te snel naar een stakingsregime overgaat, terwijl men zogezegd werkt. Dat is niet wat ik onder een goed gevangenisregime begrijp. Hoe komt het dat wij zo moeilijk personeel vinden? Iedereen praat over de werkzaamheidgraad. Vooral in Vlaanderen doet men dat. Een en ander heeft denkelijk te maken met een erg krappe arbeidsmarkt. Wij hebben de Selorprocedure oneindig versneld en wij proberen de job zo aantrekkelijk mogelijk te maken. Het cipierstatuut of het statuut van penitentiar agent is, vergeleken met andere statuten, niet zo slecht als u beweert. Ik wil daarop niet ingaan. Dat is immers een moeilijke discussie. Er is wel een grote uitstroom, omdat er zoveel andere veiligheidsberoepen op de arbeidsmarkt met de gevangenissector concurreren. Ik denk aan de privéveiligheidssector en aan de douane. Het is dus moeilijk om mensen te "retainen", zoals dat tegenwoordig heet.
ParlaMint-BE_2019-10-03-55-plenair-ip007x.u10	[[04.03 Marijke Dillen (VB):]] Mijnheer de minister, uw antwoord ontgoochelt mij. Wanneer de regering aan een degelijk statuut zal werken, zodat die mensen bijvoorbeeld hun verlof kunnen opnemen, maakt u het beroep weer aantrekkelijker en dan zult u ervoor zorgen dat jonge mensen zich weer aangesproken voelen om de job uit te oefenen. Het Vlaams Belang zal blijven ijveren om een definitieve oplossing uit te werken voor alle terechte verzuchtingen van de cipiers. Wij zullen op die nagel blijven kloppen, in het belang van alle betrokkenen, uiteraard op de eerste plaats van de cipiers, alsook – dit wil ik tegelijkertijd beklemtonen – in het belang van de gedetineerden. Zij zitten nu al bijna een week op hun cel; zij krijgen geen bezoek; zij mogen geen wandeling maken; zij mogen niet douchen enzovoort. Dat is een beschaafd land als het onze absoluut onwaardig, mijnheer de minister.
ParlaMint-BE_2019-10-03-55-plenair-ip007x.u11	[[05.01 Katleen Bury (VB):]] Mijnheer de voorzitter, voor mijn eerste mondelinge vraag heb ik nog een spiekbriefje bij me. Mijnheer de voorzitter, mijnheer de minister, waarde collega's, verleden week werd op de website van Het Laatste Nieuws een artikel gewijd aan de vervroegde vrijlating van Michel Lelièvre. De bijbehorende poll is duidelijk: 86 % van de bevolking is tegen de vervroegde vrijlating van Lelièvre. De reacties zijn ook niet van de poes. Ik citeer: "Wraakroepend en een kaakslag voor de families die hun dierbaren ontnomen zijn." "Als dat echt het maximum was dat ze een psychopaat kunnen opsluiten voor zulke misdaden, is er een probleem met de wet." "Ik ben beschaamd om Belg te zijn. België is een ziek land." Als moeder van vier jonge kinderen heb ik exact dezelfde reactie. De strafuitvoeringsrechtbank in Brussel heeft beslist om Michel Lelièvre, de kompaan van Marc Dutroux, vervroegd vrij te laten. Lelièvre kreeg in 2004 als lid van de bende-Dutroux 25 jaar cel. Hij werd onder meer schuldig bevonden aan foltering en opsluiting van vier meisjes, waarvan twee het niet overleefden en de twee andere getekend zijn voor het leven. De strafuitvoeringsrechtbank laat Lelièvre nu vrij. Normaal gesproken had hij nog tot 2021 in de cel moeten zitten. Vlaams Belang verzet zich tegen die systematische uitholling van de opgelegde straffen, het gevolg van een naïeve en wereldvreemde visie die het justitiebeleid al jaren in zijn greep houdt. Die visie leidt tot een steeds grotere frustratie bij de strafrechters, die hun rol steeds meer gereduceerd zien tot die van een bloempot. Zij voelen zich onmachtig en hebben nauwelijks greep op het verdere lot van de meeste criminelen die zij voor zich krijgen.
