ParlaMint-BE_2015-12-18-54-plenair-ip091x.u1	[[De voorzitter:]] De vergadering is geopend. La séance est ouverte.
ParlaMint-BE_2015-12-18-54-plenair-ip091x.u2	De algemene bespreking is geopend. La discussion générale est ouverte. Les rapporteurs sont M. Laaouej, de heer Deseyn, de heer Vercamer et M. Friart. Ils renvoient au rapport écrit.
ParlaMint-BE_2015-12-18-54-plenair-ip091x.u3	[[01.01 Ahmed Laaouej (PS):]] Monsieur le président, monsieur le ministre, chers collègues, je voudrais d'abord souligner que nous ne travaillons pas dans des conditions optimales; c'est le moins que l'on puisse dire. Je découvre ici l'épreuve d'un rapport à laquelle sont joints des tableaux qui indiqueraient les effets, par niveau de revenu, d'un certain nombre de mesures. Je suis incapable de vous dire si ces tableaux sont bons ou s'ils sont critiquables. Mme De Block a donné ces tableaux en commission des Affaires sociales. Cela étant, je découvre ces tableaux en plénière. Il y a donc clairement un problème de transmission d'informations entre les différentes commissions. Il faudra songer, dans le futur, à tenir des commissions communes portant sur certains aspects de dossiers comme celui-là. Je me retourne vers mes collègues plus expérimentés; j'imagine que cela s'est déjà fait. Vous comprendrez que je ne commenterai pas ces tableaux. Si d'aventure, vous souhaitiez les invoquer, je demanderai que l'on puisse les examiner à l'occasion d'une commission qui peut encore se tenir d'ici le vote en séance plénière. Je suis désolé, mais travailler dans ces conditions n'est pas possible. De la même manière, je viens d'évoquer en marge de cette séance et avec M. Van Overtveldt, le fait que l'objectif est aujourd'hui de voter. Il n'y aura pas, dans le chef du groupe PS au nom duquel je parle après concertation avec ma cheffe de groupe, d'obstruction de quelque nature que ce soit. Cependant, l'avis du Conseil d'État vient d'arriver. Il conviendrait d'en prendre connaissance dans de bonnes conditions afin de voir s'il n'y a pas, comme il en avait été convenu, matière à rectification, ce qui peut encore se faire aujourd'hui par amendements. Tout est possible. Dans ces conditions, je vais essayer de vous dire ce que je pense de votre réforme fiscale. Selon moi, ce tax shift est une occasion manquée. Vous avez en effet raté une grande occasion de réformer notre système fiscal pour le rendre plus juste et plus efficace. Pourquoi? À la fin de la précédente législature, une commission mixte Chambre et Sénat avait été mise en place pour explorer les pistes d'une possible réforme fiscale. Nous avons travaillé pendant plusieurs semaines, assistés de différents départements et pratiquant de nombreuses auditions, pour aboutir à un rapport relativement intéressant. Celui-ci était construit autour de plusieurs pistes qui ne rassemblaient pas le consensus, il est vrai, mais qui donnaient un certain nombre d'orientations. Quasi concomitamment, le Conseil Supérieur des Finances a rendu un rapport sur les possibles voies pour une réforme fiscale en termes de déplacement d'assiette. Au demeurant, c'est le premier acteur dans le débat politique à avoir utilisé la notion de tax shift. À la lecture de ces deux rapports, et lorsqu'on les compare au projet déposé, on ne peut pas vraiment dire que vous vous en soyez largement inspiré, loin s'en faut. C'est la raison pour laquelle je dis qu'il y a déjà là une occasion manquée. Vous ne vous êtes pas nourri des nombreuses réflexions qui étaient pourtant à votre disposition. La deuxième raison pour laquelle vous ratez l'objectif, c'est qu'on voit bien que vous ne tenez pas compte de l'évolution qualitative et dynamique de notre tissu économique, qui n'est plus le même qu'il y a trente ans. Je pense à la financiarisation de l'économie, aux gains de productivité colossaux ainsi qu'aux modifications de la masse salariale et du niveau d'emploi consécutives à la révolution numérique. On sait d'ores et déjà que va se dérouler un grand processus de substitution d'emplois par d'autres, voire que va disparaître le niveau global de l'emploi. Ces éléments sont fondamentaux – mais, visiblement, vous ne les avez pas intégrés. Sinon, vous auriez pris d'autres mesures relativement au déplacement de la fiscalité des revenus du travail vers ceux du capital. Un autre point que vous ignorez est l'examen rigoureux du panorama actuel de notre fiscalité, pour en voir la distribution en fonction des assiettes. Quand on observe les 106 milliards d'euros de recettes fiscales – je dis bien "fiscales", pas "parafiscales", j'y reviendrai – qui sont inscrites au budget 2016, on s'aperçoit que plus de 70 % d'entre elles reposent soit sur les revenus du travail soit sur la consommation des ménages, elle-même financée par ceux-là. Qu'est-ce que cela signifie? Cela veut dire qu'à un déséquilibre économique, vu que les revenus du travail ne représentent que 50 % du PIB, s'ajoute un déséquilibre fiscal. Alors qu'une part des salaires diminue de plus en plus pour les raisons économiques profondes que j'ai expliquées, il se trouve que ce sont les ménages, les travailleurs, qui supportent l'essentiel de la fiscalité. Vous n'en tenez pas compte non plus puisque vous déplacez une partie de la fiscalité des revenus du travail sur la consommation. C'est un des grands défauts de votre réforme fiscale. Vous ne tenez pas compte des nombreux travaux effectués, ni de l'évolution qualitative du tissu économique ni de la distribution de la fiscalité sur les différentes assiettes. Au moins pour ces trois raisons – mais il y en a d'autres –, c'est donc une occasion manquée. Je souhaite aussi contester fondamentalement l'usage de l'expression tax shift. Dans votre projet, c'est un fourre-tout. On y retrouve des réductions d'impôts sur le travail ou sur des impôts qui s'en rapprochent; des augmentations d'impôts sur la consommation, de petites augmentations sur les revenus du capital; des réductions de cotisations sociales patronales. Vous considérez qu'il s'agit d'un prélèvement obligatoire au même titre que les impôts et vous en faites un élément de votre tax shift en prétendant modifier la fiscalité sur le travail. Nous ne sommes pas obligés de partager votre vision des choses. Au regard de l'histoire, d'abord, car la sécurité sociale a été conçue comme un élément du salaire. C'est un salaire indirect, différé, une assurance financée par les employeurs et les salariés pour garantir ces derniers contre des risques liés à leur condition, notamment celui de perdre son travail. L'assurance-chômage est une assurance contre le risque de ne pas retrouver du travail, contre celui d'être malade; c'est aussi une assurance qui vise à couvrir le risque de perte de capacité économique du fait d'un accident ou de la vieillesse. C'est cela la sécurité sociale! Si bien que, lorsque vous diminuez les cotisations sociales patronales – en même temps que vous sous-financez la sécurité sociale avec la révision à la baisse de la norme de croissance –, vous touchez à cette partie du salaire indirect des travailleurs. Vous touchez donc au pouvoir d'achat. Vous ne pouvez affirmer que vous faites un tax shift qui va renforcer le pouvoir d'achat alors qu'en réalité, vous déforcez la sécurité sociale. Dès lors, vous touchez au salaire indirect des travailleurs. Je conteste donc fondamentalement votre approche de la sécurité sociale.
ParlaMint-BE_2015-12-18-54-plenair-ip091x.u4	[[01.02 Hendrik Bogaert (CD&V):]] Collega Laaouej, er zitten wat argumenten in uw betoog die mij vreemd overkomen. Uw redenering zou eventueel kloppen indien de sociale zekerheid enkel met bijdragen van de werknemers werd gefinancierd. Dat is niet zo. Ook de werkgevers dragen bij aan de sociale zekerheid. Een ander punt dat mij compleet vreemd voorkomt, is dat u doet alsof de sociale zekerheid helemaal via bijdragen wordt gefinancierd. Dat is niet zo. Er is een gigantisch gat in de sociale zekerheid dat wij met algemene middelen aanvullen. De enige die blijkbaar niet helemaal mee is met de nieuwe situatie, bent u zelf. U zegt dat we rekening moeten houden met de historische grondslagen van de sociale zekerheid. Helaas is er veel veranderd. De sociale zekerheid wordt voor een groot deel gefinancierd vanuit de algemene middelen. Het zijn niet alleen de werknemers, die de sociale zekerheid financieren van bij het begin, ook de werkgevers doen dat. Wanneer u dan zegt dat niet kan worden geraakt aan de werkgeversbijdrage vanuit het idee dat alle middelen van de werknemers komen, dan lijkt mij dat technisch helemaal niet correct.
ParlaMint-BE_2015-12-18-54-plenair-ip091x.u5	[[Le président:]] Monsieur Gilkinet, j'apprécie les interruptions, mais il convient de s'adresser à l'orateur, en l'occurrence M. Laaouej.
ParlaMint-BE_2015-12-18-54-plenair-ip091x.u6	[[01.03 Georges Gilkinet (Ecolo-Groen):]] Monsieur le président, je voudrais commenter le propos de M. Laaouej quant au caractère de salaire différé des cotisations sociales, vision que je peux très largement rejoindre. Depuis quelques années, les cotisations sociales n'étant plus suffisantes pour financer la sécurité sociale, dès lors qu'avant ce projet de tax shift, des réductions de cotisations sociales avaient déjà été décidées au bénéfice des employeurs et si possible de l'emploi, il a fallu développer un financement alternatif. Mais soyons de bon compte! Ce financement alternatif, évoqué par M. Laaouej, est lié à des choix de diminution de cotisations sociales au bénéfice de l'emploi. C'est vestzak-broekzak, comme disent nos amis flamands. S'il y a eu un financement alternatif de cette importance, c'est parce qu'il y a eu des réductions de cotisations sociales. Notre regret, depuis des années, en notre qualité d'écologistes, c'est le caractère non structurel, à négocier chaque année, de ce financement alternatif et l'absence de choix antérieurs à ce gouvernement. Aujourd'hui, la démarche est initiée mais est encore nettement insuffisante de faire davantage contribuer les revenus du capital et d'affecter ces recettes nouvelles à la sécurité sociale, de façon à ne pas devoir négocier chaque année avec tous ceux qui sont les tenants d'un État qui veille aux plus fragiles à ce moment. Oui, il y a un financement alternatif important, mais il est lié à des réductions de cotisations sociales qui ont déjà été décidées et pas toujours bien affectées.
ParlaMint-BE_2015-12-18-54-plenair-ip091x.u7	[[01.04 Marco Van Hees (PTB-GO!):]] Monsieur Laaouej, je suis content de vous entendre rappeler certaines réalités. Généralement, le monde politique a tendance à les oublier. Les cotisations sociales, qu'il s'agisse des cotisations des travailleurs ou des employeurs, constituent du salaire indirect. Je suis content de vous l'entendre dire. Ces réductions de cotisations sont ce que j'appelle "les cadeaux aux employeurs" – cela fait rire le président de la commission des Finances. J'avais l'impression qu'il n'y avait que le PTB qui défendait cette vision.
ParlaMint-BE_2015-12-18-54-plenair-ip091x.u8	[[01.05 Laurette Onkelinx (PS):]] (…)
ParlaMint-BE_2015-12-18-54-plenair-ip091x.u9	[[01.06 Marco Van Hees (PTB-GO!):]] Madame Onkelinx, je suis content de voir qu'il n'y a pas que le PTB qui défend cette vision. Peut-être conviendrait-il aussi d'avoir un regard autocritique sur le passé. Car ce n'est pas le premier gouvernement qui fait ce genre de réduction sociale. On dit aussi qu'il faut procéder à des réductions de cotisations en procédant de telle manière et non d'une autre. Finalement, on tourne en rond et on ne touche pas le nœud du système. Monsieur Laaouej, monsieur Bogaert, les cotisations dites patronales font partie de l'ensemble du salaire indirect des travailleurs, même si, formellement, cela n'apparaît pas comme tel. En effet, considérons un bilan comptable et le compte 62 des charges salariales, qui comprend l'ensemble des salaires, y compris les charges patronales. Le véritable salaire se trouve donc dans la comptabilité de l'entreprise. À l'instar d'autres collègues, M. Bogaert intervient ici. On peut se demander si ce dernier s'exprime en tant que député ou en tant que dirigeant d'entreprise.
ParlaMint-BE_2015-12-18-54-plenair-ip091x.u10	[[01.07 Ahmed Laaouej (PS):]] Monsieur Van Hees, peut-être devriez-vous éviter de faire des attaques personnelles.
ParlaMint-BE_2015-12-18-54-plenair-ip091x.u11	[[01.08 Marco Van Hees (PTB-GO!):]] Je sens, en tout cas, que M. Bogaert est sensible à cette question. Mais pour revenir au sujet qui nous occupe, je tenais à rappeler que même les cotisations dites patronales font, en réalité, partie du salaire indirect des travailleurs.
