ParlaMint-BE_2014-10-15-54-plenair-ip009x.u1	[[De voorzitter:]] De vergadering is geopend. La séance est ouverte.
ParlaMint-BE_2014-10-15-54-plenair-ip009x.u2	De bespreking van de verklaring van de regering wordt hervat. La discussion de la déclaration du gouvernement est reprise.
ParlaMint-BE_2014-10-15-54-plenair-ip009x.u3	[[01.01 Jean-Marc Nollet (Ecolo-Groen):]] Monsieur le président, M. Jamar, ministre du Budget, nous avait promis les chiffres. Nous pensions les avoir sur notre banc. Nous sommes arrivés bien à l'heure pour découvrir les tableaux budgétaires, pour savoir ce qu'il y a derrière les paroles et les 230 pages de l'accord de gouvernement. Manifestement, nous n'avons encore rien reçu! Ou peut-être est-on en train de les distribuer? Je voulais savoir si l'engagement qui a été pris par le ministre du Budget serait respecté dès ce début d'après-midi pour que la suite des débats puisse s'organiser en connaissance de cause. Il faut qu'on arrête de nous cacher ces chiffres, il faut qu'on puisse les diffuser ici en séance.
ParlaMint-BE_2014-10-15-54-plenair-ip009x.u4	[[Le président:]] Le ministre du Budget est présent, je lui donne la parole.
ParlaMint-BE_2014-10-15-54-plenair-ip009x.u5	[[01.02 Hervé Jamar, ministre:]] Monsieur le président, je suis heureux que ce soit M. Nollet qui intervienne sur cette question car je lui ai demandé pendant cinq ans des chiffres sur le photovoltaïque et je ne les ai toujours pas reçus! Mais nous sommes trop complices que pour tomber dans la polémique. Cela dit, il faut comprendre qu'à 12 h 15 précises, je n'avais toujours pas les communications, suivant les organes autorisés, des entités 2. Mme Onkelinx me dit, et je veux bien la croire, que cela a été adressé mais je n'en ai pas la confirmation des organes officiels. Ce que je veux dire, c'est que les chiffres ont fait l'objet d'un accord en kern ce matin, kern qui s'est terminé à 9 h 59. Ils sont en train d'être transposés et mis en forme pour l'Europe. Il y a quand même un délai minimum dans le cadre de la communication. J'ai effectivement dit que ces pièces seraient distribuées dès que possible. Je suis assailli par les questions des journalistes qui disposent de chiffres parfois saugrenus, dont je ne sais pas d'où ils sortent. Je crois également qu'il faut pouvoir faire la part des choses entre un show au parlement et la volonté d'avoir des chiffres exacts, sur lesquels nous pouvons discuter. Nous avons eu deux interventions de chefs de groupes de l'opposition, dont Mme Onkelinx qui s'est exprimée longuement. Nous avons aussi entendu d'autres parlementaires. Mais, tout comme l'ensemble du gouvernement, je voudrais entendre les déclarations sur le fond. Les chiffres vous seront distribués dès qu'ils pourront l'être d'un point de vue technique et matériel, dans le respect du prescrit législatif.
ParlaMint-BE_2014-10-15-54-plenair-ip009x.u6	[[01.03 Jean-Marc Nollet (Ecolo-Groen):]] Monsieur le président, il faut arrêter de jouer au chat et à la souris dans cette affaire. Les chiffres du fédéral sont manifestement connus et décidés depuis 10 h 00. Des mots, cela doit se traduire. Mais en l'occurrence, il s'agit de chiffres et ils sont les mêmes au Nord et au Sud du pays. Une traduction n'est donc pas nécessaire. Il est 14 h 30. Nous ne savons toujours pas quand nous aurons accès à ces chiffres. Je parle ici des chiffres relatifs à l'Entité 1. En effet, les chiffres concernant l'Entité 2 devraient nous être transmis plus tard dans la journée, ce qui n'est pas un problème. Mais pour ce qui concerne votre responsabilité, celle qui engage, aujourd'hui, la partie fédérale de l'État, vous n'arriverez pas, monsieur Jamar, à vous cacher derrière l'Entité 2.
ParlaMint-BE_2014-10-15-54-plenair-ip009x.u7	[[01.04 Hervé Jamar, ministre:]] (…)
ParlaMint-BE_2014-10-15-54-plenair-ip009x.u8	[[01.05 Jean-Marc Nollet (Ecolo-Groen):]] Monsieur Jamar, vous devez aussi assumer l'impact budgétaire et les conséquences concrètes des mesures que vous proposez. Vous essayez de faire en sorte que le débat ne porte que sur les principes. Mais quand nous connaîtrons les conséquences concrètes, l'impact des mesures que vous préconisez, mais aussi – et là vous avez raison – des mesures prises par l'Entité 2, nous serons à même d'intervenir dans cette enceinte pour dénoncer, sur le fond, ces mesures. Pour l'heure, il est question de principes, mais nous souhaitons pouvoir calculer de manière précise, sur la base des chiffres que vous avancez, les conséquences des mesures que vous proposez. Il ne s'agira alors plus seulement de questions d'intention, etc. Nous attendons que nous soit communiqué maintenant le tableau budgétaire relatif à la partie fédérale et tout à l'heure, le tableau budgétaire relatif à la partie régionale.
ParlaMint-BE_2014-10-15-54-plenair-ip009x.u9	[[Le président:]] Le ministre a répondu aux questions à ce sujet. Technisch gezien wordt al het mogelijke gedaan om de cijfers tot hier te krijgen. Als dat technisch niet eerder kan, dan meen ik dat wij ons daarbij moeten neerleggen.
ParlaMint-BE_2014-10-15-54-plenair-ip009x.u10	[[01.06 Laurette Onkelinx (PS):]] (…)
ParlaMint-BE_2014-10-15-54-plenair-ip009x.u11	[[De voorzitter:]] Ik neem aan dat de cijfers nog in tabellen moeten worden gegoten en dat wij die zullen krijgen.
ParlaMint-BE_2014-10-15-54-plenair-ip009x.u12	[[01.07 Karin Temmerman (sp.a):]] Mijnheer de voorzitter, ik stel alleen maar vast dat de minister deze voormiddag, omstreeks elf uur, zei dat wij binnen twee uur alles zouden ontvangen en dat de oppositie moest zwijgen. De cijfers zijn er echter nog altijd niet. Misschien zullen zij ooit wel komen.
ParlaMint-BE_2014-10-15-54-plenair-ip009x.u13	[[De voorzitter:]] Die vaststelling is voor uw rekening. Ik stel vast dat de minister heeft beloofd om technisch gesproken al het mogelijke te doen om de cijfers tot in deze assemblee te krijgen. Ik stel voor dat wij het debat voortzetten. La parole est à M. Ducarme.
ParlaMint-BE_2014-10-15-54-plenair-ip009x.u14	[[01.08 Denis Ducarme (MR):]] Monsieur le président, monsieur le premier ministre, mesdames et messieurs les ministres, chers collègues, cela faisait dix ans que, dans ce pays, plus aucun gouvernement n'avait été mis en place à temps pour la rentrée du deuxième mardi d'octobre. Dix ans! Madame Onkelinx, vous disiez dans votre intervention que nous entrerions dans des zones de turbulences. Or nous sortons de dix années de crises politiques. Même si vous vous trouvez dans l'opposition, cela devrait aussi, compte tenu du sens de l'État qui vous est connu, vous satisfaire. Les Belges, en effet, savaient qu'après les élections ils en prendraient pour des mois avant de voir se constituer un gouvernement fédéral. Chaque fois, le pays était mis en danger: crise en 2007, crise en 2010. La Belgique était abonnée aux crises! Mais, en 2014, et nous en éprouvons au MR une certaine fierté, le gouvernement Michel a écarté…
ParlaMint-BE_2014-10-15-54-plenair-ip009x.u15	[[01.09 Melchior Wathelet (cdH):]] (…)
ParlaMint-BE_2014-10-15-54-plenair-ip009x.u16	[[01.10 Denis Ducarme (MR):]] Pardon d'être fier, monsieur Wathelet, d'avoir évité une énième crise, un énième blocage à ce pays. Cela vous fait rire? En revanche, ces crises successives ne faisaient pas rire les Belges! Oui, ce gouvernement a écarté une nouvelle crise sans fin. Monsieur Wathelet, vous avez l'air d'être nostalgique de cette période; c'est regrettable.
ParlaMint-BE_2014-10-15-54-plenair-ip009x.u17	[[01.11 Benoît Lutgen (cdH):]] Les nostalgiques, ce sont plutôt les gens qui vous entourent!
ParlaMint-BE_2014-10-15-54-plenair-ip009x.u18	[[01.12 Denis Ducarme (MR):]] C'est le déserteur qui dit cela? Enfin, l'exécutif redémarre. Le pays n'est plus bloqué. De bout en bout du processus de formation fédérale, les événements se sont déroulés dans l'unique optique de donner, le plus rapidement possible, à notre pays un gouvernement exclusivement socio-économique et porteur de solutions en la matière. Madame Onkelinx, vous avez parlé avant moi. Veuillez m'excuser d'avoir puisé dans vos réflexions un certain nombre d'éléments qui participeront sans doute au débat et qui enrichiront, je l'espère, notre confrontation. Vous disiez que nous étions "churchilliens".
ParlaMint-BE_2014-10-15-54-plenair-ip009x.u19	[[01.13 Laurette Onkelinx (PS):]] Non, j'ai dit que vous aviez des accents churchilliens.
ParlaMint-BE_2014-10-15-54-plenair-ip009x.u20	[[01.14 Denis Ducarme (MR):]] Si ce ne sont que des accents… Vous nous disiez surtout que la situation n'était pas dramatique, du moins que nous la dramatisions, que la situation n'était pas grave. Est-ce aussi ce discours-là que vous tenez à plus de 500 000 chômeurs? C'est ce que vous disiez tout à l'heure; j'ai bien écouté vos propos. Mais oui, la situation est grave et plus de 500 000 chômeurs s'en rendent compte tous les jours. Dans cette majorité, nous voulons, grâce à cette stabilité politique, grâce au projet économique et social porté par ce gouvernement, donner au plus grand nombre la possibilité de retrouver un emploi. La stabilité politique est essentielle et certains semblent s'en être peu soucié après les élections. Ceux-là mêmes ont jeté les bases d'une crise communautaire. Certains ont voulu – sans doute parce qu'ils peuvent plus facilement exister dans ce schéma – inscrire le chaos, la division, le blocage à nouveau à l'agenda politique en précipitant la mise en place de majorités régionales qui mettaient en danger l'idée même de pouvoir former encore dans ce pays un gouvernement fédéral. Mais il y a eu un sursaut! Et on ne peut que le saluer. Il est intervenu au sein de quatre formations politiques, au cœur de l'été. Il consistait à mettre sur pied une majorité fédérale au sein du Parlement belge. Nous y sommes arrivés! Sans ce sens de l'État, il n'y aurait aujourd'hui, madame Onkelinx, ni gouvernement, ni respect de nos engagements budgétaires. Cela vous fait rire, mais hier, vous hurliez! Aujourd'hui, vous riez. Choisissez! Sans ces engagements, l'économie de notre pays en aurait souffert. La protection sociale, madame Onkelinx, dont bénéficie toute la population, serait en danger. Voilà ce qui aurait été la réalité de ce pays si cette majorité n'avait pas pris rapidement ses responsabilités! En juillet d'ailleurs, il n'y avait plus de plan B à la suédoise et certains, sans doute, misaient sur un nouveau scénario de crise de 541 jours, un pays encore bloqué, une valse de négociations tournant à l'échec. Ces pronostics ont été démentis. Nous avons non seulement un gouvernement, mais nous avons un bon gouvernement. Chaque jour, vous pourrez le constater. Un bon gouvernement qui a su, enfin, tourner le dos à l'immobilisme, opérer de vrais choix, dire la vérité et trouver des solutions!
