ID	Parent_ID	Element	Language	Senti_3	Senti_6	Senti_n	Sents	Words	Tokens	Names	
ParlaMint-ES-PV_2019-12-20.u0	ParlaMint-ES-PV_2019-12-20	u	Euskara	-	-	-	11	95	122	7	
ParlaMint-ES-PV_2019-12-20.seg1.s1	ParlaMint-ES-PV_2019-12-20.u0	s	Euskara	Positive	mixed positive	3.697	1	3	4	0	
ParlaMint-ES-PV_2019-12-20.seg1.s2	ParlaMint-ES-PV_2019-12-20.u0	s	Euskara	Neutral	neutral postive	3.065	1	5	6	0	
ParlaMint-ES-PV_2019-12-20.seg2.s1	ParlaMint-ES-PV_2019-12-20.u0	s	Euskara	Neutral	neutral postive	3.110	1	3	4	0	
ParlaMint-ES-PV_2019-12-20.seg2.s2	ParlaMint-ES-PV_2019-12-20.u0	s	Euskara	Negative	negative	0.448	1	16	20	3	
ParlaMint-ES-PV_2019-12-20.seg2.s3	ParlaMint-ES-PV_2019-12-20.u0	s	Euskara	Neutral	neutral negative	2.338	1	17	21	1	
ParlaMint-ES-PV_2019-12-20.seg3.s1	ParlaMint-ES-PV_2019-12-20.u0	s	Euskara	Neutral	neutral postive	2.923	1	14	15	2	
ParlaMint-ES-PV_2019-12-20.seg3.s2	ParlaMint-ES-PV_2019-12-20.u0	s	Euskara	Neutral	neutral postive	3.055	1	11	13	1	
ParlaMint-ES-PV_2019-12-20.seg4.s1	ParlaMint-ES-PV_2019-12-20.u0	s	Euskara	Neutral	neutral postive	2.863	1	8	10	0	
ParlaMint-ES-PV_2019-12-20.seg4.s2	ParlaMint-ES-PV_2019-12-20.u0	s	Euskara	Neutral	neutral postive	3.216	1	3	5	0	
ParlaMint-ES-PV_2019-12-20.seg5.s1	ParlaMint-ES-PV_2019-12-20.u0	s	Euskara	Neutral	neutral postive	3.305	1	6	8	0	
ParlaMint-ES-PV_2019-12-20.seg5.s2	ParlaMint-ES-PV_2019-12-20.u0	s	Euskara	Neutral	neutral postive	2.811	1	9	16	0	
ParlaMint-ES-PV_2019-12-20.u1	ParlaMint-ES-PV_2019-12-20	u	Euskara	-	-	-	5	38	49	5	
ParlaMint-ES-PV_2019-12-20.seg6.s1	ParlaMint-ES-PV_2019-12-20.u1	s	Euskara	Neutral	neutral negative	1.842	1	9	12	0	
ParlaMint-ES-PV_2019-12-20.seg7.s1	ParlaMint-ES-PV_2019-12-20.u1	s	Euskara	Neutral	neutral postive	3.350	1	3	4	1	
ParlaMint-ES-PV_2019-12-20.seg7.s2	ParlaMint-ES-PV_2019-12-20.u1	s	Euskara	Neutral	neutral postive	2.971	1	10	13	2	
ParlaMint-ES-PV_2019-12-20.seg7.s3	ParlaMint-ES-PV_2019-12-20.u1	s	Euskara	Negative	mixed negative	1.088	1	5	7	0	
ParlaMint-ES-PV_2019-12-20.seg8.s1	ParlaMint-ES-PV_2019-12-20.u1	s	Euskara	Positive	mixed positive	3.546	1	11	13	2	
ParlaMint-ES-PV_2019-12-20.u97	ParlaMint-ES-PV_2019-12-20	u	Euskara	-	-	-	5	31	45	1	
ParlaMint-ES-PV_2019-12-20.seg682.s1	ParlaMint-ES-PV_2019-12-20.u97	s	Euskara	Negative	mixed negative	0.937	1	6	8	0	
ParlaMint-ES-PV_2019-12-20.seg683.s1	ParlaMint-ES-PV_2019-12-20.u97	s	Euskara	Positive	mixed positive	3.514	1	8	10	1	
ParlaMint-ES-PV_2019-12-20.seg683.s2	ParlaMint-ES-PV_2019-12-20.u97	s	Euskara	Neutral	neutral postive	3.282	1	2	3	0	
ParlaMint-ES-PV_2019-12-20.seg684.s1	ParlaMint-ES-PV_2019-12-20.u97	s	Euskara	Neutral	neutral postive	3.026	1	6	8	0	
ParlaMint-ES-PV_2019-12-20.seg684.s2	ParlaMint-ES-PV_2019-12-20.u97	s	Euskara	Neutral	neutral postive	3.010	1	9	16	0	
ParlaMint-ES-PV_2019-12-20.u98	ParlaMint-ES-PV_2019-12-20	u	Euskara	-	-	-	3	28	33	1	
ParlaMint-ES-PV_2019-12-20.seg685.s1	ParlaMint-ES-PV_2019-12-20.u98	s	Euskara	Negative	mixed negative	0.852	1	8	10	1	
ParlaMint-ES-PV_2019-12-20.seg686.s1	ParlaMint-ES-PV_2019-12-20.u98	s	Euskara	Positive	mixed positive	4.230	1	14	16	0	
ParlaMint-ES-PV_2019-12-20.seg687.s1	ParlaMint-ES-PV_2019-12-20.u98	s	Euskara	Neutral	neutral postive	2.779	1	6	7	0	
