COUNTRY	PM_ID	CHES_ID	YEAR	LRGEN	LR_WIKI	URL_WIKI
DK	0	A	2019	2.5		
DK	0	CD	1999	5.57		
DK	DF	DF	1999	8.86		
DK	DF	DF	2002	8.85		
DK	DF	DF	2006	7.67		
DK	DF	DF	2010	7.82		
DK	DF	DF	2014	6.9		
DK	DF	DF	2019	6.93		
DK	EL	EL	1999	1.0		
DK	EL	EL	2006	1.0		
DK	EL	EL	2010	1.0		
DK	EL	EL	2014	1.2		
DK	EL	EL	2019	1.0		
DK	0	FP	1999	9.29		
DK	0	FolkB	1999	1.0		
DK	0	FolkB	2006	2.67		
DK	0	FolkB	2010	2.67		
DK	0	FolkB	2014	2.0		
DK	0	JuniB	1999	2.0		
DK	0	JuniB	2006	3.17		
DK	KF	KF	1999	7.14		
DK	KF	KF	2002	7.0		
DK	KF	KF	2006	7.11		
DK	KF	KF	2010	7.55		
DK	KF	KF	2014	7.0		
DK	KF	KF	2019	7.07		
DK	0	KRF	1999	5.43		
DK	LA	LA	2010	8.2		
DK	LA	LA	2014	7.9		
DK	LA	LA	2019	8.0		
DK	NB	NB	2019	9.0		
DK	RV	RV	1999	5.0		
DK	RV	RV	2002	5.08		
DK	RV	RV	2006	4.78		
DK	RV	RV	2010	5.18		
DK	RV	RV	2014	5.7		
DK	RV	RV	2019	5.07		
DK	0	SD	1999	3.86		
DK	0	SD	2002	4.0		
DK	0	SD	2006	4.11		
DK	0	SD	2010	4.18		
DK	0	SD	2014	4.4		
DK	0	SD	2019	4.0		
DK	SF	SF	1999	2.29		
DK	SF	SF	2002	2.31		
DK	SF	SF	2006	2.33		
DK	SF	SF	2010	2.82		
DK	SF	SF	2014	2.9		
DK	SF	SF	2019	2.64		
DK	V	V	1999	7.14		
DK	V	V	2002	7.38		
DK	V	V	2006	7.22		
DK	V	V	2010	7.0		
DK	V	V	2014	7.0		
DK	0	v	2019	6.64		
DK	ALT	0	0	0		
DK	IA	0	0	0		
DK	JF	0	0	0		
DK	KD	0	0	0		
DK	NQ	0	0	0		
DK	S	0	0	0		
DK	SIU	0	0	0		
DK	SP	0	0	0		
DK	T	0	0	0		
DK	TF	0	0	0		
DK	UFG	0	0	0		
