Country	orgType	orgID	AbbrName	FullName	From	To	Orientation-LR	Wikipedia	CHES-ID
AT	parliament	NR	NR	National Council of the Republic of Austria	-	-	-	https://en.wikipedia.org/wiki/National_Council_(Austria)	-
AT	parliament	BR	BR	Federal Council of the Republic of Austria	-	-	-	https://en.wikipedia.org/wiki/Federal_Council_(Austria)	-
AT	institution	institution.AT.VAW	VAW	Austrian Ombudsman Board	-	-	-	-	-
AT	institution	institution.AT.RH	RH	Court of Audit	1761	-	-	-	-
AT	europeanCommission	europeanCommision.EC	EC	European Commission	1967-06-01	-	-	https://en.wikipedia.org/wiki/European_Commission	-
AT	europeanParliament	europeanParliament.EP	EP	European Parliament	1952-09-10	-	-	https://en.wikipedia.org/wiki/European_Parliament	-
AT	europeanInstitution	europeanInstitution.PACE	PACE	Parliamentary Assembly of the Council of Europe	1949	-	-	https://en.wikipedia.org/wiki/Parliamentary_Assembly_of_the_Council_of_Europe	-
AT	republic	republic.Austria	Austria	Republic of Austria	-	-	-	https://en.wikipedia.org/wiki/Austria	-
AT	federatedState	federatedState.Austria.Vorarlberg	Vorarlberg	Austrian Province Vorarlberg	-	-	-	https://en.wikipedia.org/wiki/Vorarlberg	-
AT	federatedState	federatedState.Austria.Tirol	Tirol	Austrian Province Tyrol	-	-	-	https://en.wikipedia.org/wiki/Tyrol_(state)	-
AT	federatedState	federatedState.Austria.Salzburg	Salzburg	Austrian Province Salzburg	-	-	-	https://en.wikipedia.org/wiki/Salzburg_(state)	-
AT	federatedState	federatedState.Austria.Oberösterreich	Oberösterreich	Austrian Province Upper Austria	-	-	-	https://en.wikipedia.org/wiki/Upper_Austria	-
AT	federatedState	federatedState.Austria.Niederösterreich	Niederösterreich	Austrian Province Lower Austria	-	-	-	https://en.wikipedia.org/wiki/Lower_Austria	-
AT	federatedState	federatedState.Austria.Wien	Wien	Austrian Province Vienna	-	-	-	https://en.wikipedia.org/wiki/Vienna	-
AT	federatedState	federatedState.Austria.Burgenland	Burgenland	Austrian Province Burgenland	-	-	-	https://en.wikipedia.org/wiki/Burgenland	-
AT	federatedState	federatedState.Austria.Steiermark	Steiermark	Austrian Province Styria	-	-	-	https://en.wikipedia.org/wiki/Styria	-
AT	federatedState	federatedState.Austria.Kärnten	Kärnten	Austrian Province Carinthia	-	-	-	https://en.wikipedia.org/wiki/Carinthia	-
AT	internationalOrganisation	internationalOrganisation.UN	UN	United Nations	1945-06-26	-	-	https://en.wikipedia.org/wiki/United_Nations	-
AT	government	GOV	GOV	Government of Austria	1918-10-31	-	-	https://en.wikipedia.org/wiki/Government_of_Austria	-
AT	parliamentaryGroup	parliamentaryGroup.SPÖ	SPÖ	parliamentary group of the Social Democratic Party of Austria	-	-	Centre-left	https://en.wikipedia.org/wiki/Social_Democratic_Party_of_Austria	SPO
AT	parliamentaryGroup	parliamentaryGroup.ÖVP	ÖVP	parliamentary group of the Austrian People's Party	-	-	Centre-right to right	https://en.wikipedia.org/wiki/Austrian_People%27s_Party	OVP
AT	parliamentaryGroup	parliamentaryGroup.FPÖ	FPÖ	parliamentary group of the Austrian Freedom Party	-	-	Right to far-right	https://en.wikipedia.org/wiki/Freedom_Party_of_Austria	FPO
AT	parliamentaryGroup	parliamentaryGroup.BZÖ	BZÖ	parliamentary group Alliance for the Future of Austria	-	-	Right to far-right	https://en.wikipedia.org/wiki/Alliance_for_the_Future_of_Austria	BZO
AT	parliamentaryGroup	parliamentaryGroup.GRÜNE	Grüne	parliamentary group of The Greens – The Green Alternative	-	-	Centre-left to left	https://en.wikipedia.org/wiki/The_Greens_%E2%80%93_The_Green_Alternative	GRUNE Grune
AT	parliamentaryGroup	parliamentaryGroup.LIF	LIF	parliamentary group of Liberal Forum	-	-	Centre	https://en.wikipedia.org/wiki/Liberal_Forum	LIF
AT	parliamentaryGroup	parliamentaryGroup.NEOS	NEOS	parliamentary group of NEOS	-	-	Centre	https://en.wikipedia.org/wiki/NEOS_%E2%80%93_The_New_Austria_and_Liberal_Forum	NEOS
AT	parliamentaryGroup	parliamentaryGroup.JETZT	JETZT	parliamentary group JETZT – Pilz List	-	-	Centre-left to left	https://en.wikipedia.org/wiki/JETZT_(party)	-
AT	parliamentaryGroup	parliamentaryGroup.STRONACH	STRONACH	parliamentary group Team Stronach	-	-	Centre-right to right	https://en.wikipedia.org/wiki/Team_Stronach	TeamStronach
AT	politicalParty	politicalParty.SPÖ	SPÖ	Social Democratic Party of Austria	1888-12-30	-	Centre-left	https://en.wikipedia.org/wiki/Social_Democratic_Party_of_Austria	SPO
AT	politicalParty	politicalParty.ÖVP	ÖVP	Austrian People's Party	1945-04-17	-	Centre-right to right	https://en.wikipedia.org/wiki/Austrian_People%27s_Party	OVP
AT	politicalParty	politicalParty.FPÖ	FPÖ	Freedom Party of Austria	1956-04-07	-	Right to far-right	https://en.wikipedia.org/wiki/Freedom_Party_of_Austria	FPO
AT	politicalParty	politicalParty.GRÜNE	GRÜNE	The Greens – The Green Alternative	1993-01-01	-	Centre-left to left	https://en.wikipedia.org/wiki/The_Greens_%E2%80%93_The_Green_Alternative	GRUNE Grune
AT	politicalParty	politicalParty.NEOS	NEOS	NEOS – The New Austria and Liberal Forum	2014-01-25	-	Centre	https://en.wikipedia.org/wiki/NEOS_%E2%80%93_The_New_Austria_and_Liberal_Forum	NEOS
AT	politicalParty	politicalParty.STRONACH	STRONACH	Team Stronach	2012-09-25	2017-12-31	Centre-right to right	https://en.wikipedia.org/wiki/Team_Stronach	TeamStronach
AT	politicalParty	politicalParty.LIF	LIF	Liberal Forum	1993-02-04	2014-01-25	Centre	https://en.wikipedia.org/wiki/Liberal_Forum	LIF
AT	politicalParty	politicalParty.BZÖ	BZÖ	Alliance for the Future of Austria	2005-04-17	-	Right to far-right	https://en.wikipedia.org/wiki/Alliance_for_the_Future_of_Austria	BZO
AT	politicalParty	politicalParty.JETZT	JETZT	JETZT – Pilz List	2017-07-26	2020-01-01	Centre-left to left	https://en.wikipedia.org/wiki/JETZT_(party)	-
BA	government	government.BA	BA	Government of Bosnia and Herzegovina	1997-01-03	-	-	-	-
BA	parliament	PS	PS	Parliamentary Assembly of Bosnia and Herzegovina	1996-09-28	-	-	https://en.wikipedia.org/wiki/Parliamentary_Assembly_of_Bosnia_and_Herzegovina	-
BA	parliamentaryGroup	party.DNZ_BIH	DNZ_BiH	Demokratska narodna zajednica BiH	-	-	Big tent	https://en.wikipedia.org/wiki/Democratic_People's_Union	-
BA	parliamentaryGroup	party.HDZ_BIH	HDZ_BiH	Hrvatska demokratska zajednica Bosne i Hercegovine	-	-	Centre-right	https://hr.wikipedia.org/wiki/Hrvatska_demokratska_zajednica_Bosne_i_Hercegovine	-
BA	parliamentaryGroup	party.KCD_BIH	KCD_BiH	Koalicija za cjelovitu i demokratsku BiH	-	-	-	-	-
BA	parliamentaryGroup	party.NHI-HKDU	NHI-HKDU	Koalicija Nova hrvatska inicijativa - Hrvatska kršćanska demokratska unija Bosne i Hercegovine	-	-	Centre	https://en.wikipedia.org/wiki/Croatian_Christian_Democratic_Union	-
BA	parliamentaryGroup	party.RSRS	RSRS	Radikalna stranka Republike Srpske	-	-	Right	https://en.wikipedia.org/wiki/Serbian_Radical_Party_of_Republika_Srpska	-
BA	parliamentaryGroup	party.SDP_BIH	SDP_BiH	Socijaldemokratska partija Bosne i Hercegovine	-	-	Centre-left	https://en.wikipedia.org/wiki/Social_Democratic_Party_(Bosnia_and_Herzegovina)	-
BA	parliamentaryGroup	party.SDS	SDS	Srpska demokratska stranka	-	-	Centre-right to right	https://en.wikipedia.org/wiki/Serb_Democratic_Party_(Bosnia_and_Herzegovina)	-
BA	parliamentaryGroup	party.SLOGA	Sloga	Sloga	-	-	-	-	-
BA	parliamentaryGroup	party.SD_BIH	SD_BiH	Socijaldemokrati BiH	-	-	Centre-left	https://en.wikipedia.org/wiki/Social_Democrats_(Bosnia_and_Herzegovina)	-
BA	parliamentaryGroup	party.SRSRS	SRSRS	Srpska radikalna stranka Republike Srpske	-	-	Right	https://en.wikipedia.org/wiki/Serbian_Radical_Party_of_Republika_Srpska	-
BA	parliamentaryGroup	party.BPS	BPS	Bosanskohercegovačka patriotska stranka	-	-	Centre-right	https://en.wikipedia.org/wiki/Bosnian-Herzegovinian_Patriotic_Party	-
BA	parliamentaryGroup	party.DSP_BIH	DSP_BiH	Demokratska stranka penzionera BiH	-	-	-	https://en.wikipedia.org/wiki/Democratic_Party_of_Pensioners	-
BA	parliamentaryGroup	party.K-SNSD	K-SNSD	Koalicija Savez nezavisnih socijaldemokrata	-	-	Right	https://hr.wikipedia.org/wiki/Savez_nezavisnih_socijaldemokrata	-
BA	parliamentaryGroup	party.NHI	NHI	Nova hrvatska inicijativa	-	-	Left	https://hr.wikipedia.org/wiki/Nova_hrvatska_inicijativa	-
BA	parliamentaryGroup	party.PDP	PDP	Partija demokratskog progresa	-	-	Centre to centre-right	https://en.wikipedia.org/wiki/Party_of_Democratic_Progress	-
BA	parliamentaryGroup	party.SBIH	SBiH	Stranka za Bosnu i Hercegovinu	-	-	Centre	https://en.wikipedia.org/wiki/Party_for_Bosnia_and_Herzegovina	-
BA	parliamentaryGroup	party.SDA	SDA	Stranka demokratske akcije	-	-	Centre-right to right	https://en.wikipedia.org/wiki/Party_of_Democratic_Action	-
