ERROR: Person AliSahinMehmet not found in TEI corpus, skipping!
ERROR: Person ErginSadullah not found in TEI corpus, skipping!
ERROR: Person KahramanAhmet not found in TEI corpus, skipping!
ERROR: Person ErginSadullah not found in TEI corpus, skipping!
ERROR: Person BozdagBekir not found in TEI corpus, skipping!
ERROR: Person IpekKenan not found in TEI corpus, skipping!
ERROR: Person BozdagBekir not found in TEI corpus, skipping!
ERROR: Person GulAbdulhamit not found in TEI corpus, skipping!
ERROR: Person BozdagBekir not found in TEI corpus, skipping!
ERROR: Person CubukcuNimet not found in TEI corpus, skipping!
ERROR: Person KavafSelmaAliye not found in TEI corpus, skipping!
ERROR: Person SahinFatma not found in TEI corpus, skipping!
ERROR: Person IslamAysenur not found in TEI corpus, skipping!
ERROR: Person GurcanAysen not found in TEI corpus, skipping!
ERROR: Person RamazanogluSema not found in TEI corpus, skipping!
ERROR: Person SayanKayaFatmaBetul not found in TEI corpus, skipping!
ERROR: Person SelcukZehraZumrut not found in TEI corpus, skipping!
ERROR: Person YanikDerya not found in TEI corpus, skipping!
ERROR: Person CelikFaruk not found in TEI corpus, skipping!
ERROR: Person DincerOmar not found in TEI corpus, skipping!
ERROR: Person CelikFaruk not found in TEI corpus, skipping!
ERROR: Person ErdemAhmet not found in TEI corpus, skipping!
ERROR: Person SoyluSuleyman not found in TEI corpus, skipping!
ERROR: Person MuezzinogluMehmet not found in TEI corpus, skipping!
ERROR: Person SerierogluJulide not found in TEI corpus, skipping!
ERROR: Person ZumrutSelcukZehra not found in TEI corpus, skipping!
ERROR: Person BilginVedat not found in TEI corpus, skipping!
ERROR: Person NafizOzakFaruk not found in TEI corpus, skipping!
ERROR: Person DemirMustafa not found in TEI corpus, skipping!
ERROR: Person BayraktarErdogan not found in TEI corpus, skipping!
ERROR: Person GulluceIdris not found in TEI corpus, skipping!
ERROR: Person GuldemetSariFatma not found in TEI corpus, skipping!
ERROR: Person OzhasekiMehmet not found in TEI corpus, skipping!
ERROR: Person KurumMurat not found in TEI corpus, skipping!
ERROR: Person BabacanAli not found in TEI corpus, skipping!
ERROR: Person DavutogluAhmet not found in TEI corpus, skipping!
ERROR: Person CavusogluMevlut not found in TEI corpus, skipping!
ERROR: Person SinirliogluFeridun not found in TEI corpus, skipping!
ERROR: Person CavusogluMevlut not found in TEI corpus, skipping!
ERROR: Person GulerHilmi not found in TEI corpus, skipping!
ERROR: Person YidizTaner not found in TEI corpus, skipping!
ERROR: Person AlaboyunAliRiza not found in TEI corpus, skipping!
ERROR: Person AlbayrakBerat not found in TEI corpus, skipping!
ERROR: Person DonmezFatih not found in TEI corpus, skipping!
ERROR: Person BasesgiogluMurat not found in TEI corpus, skipping!
ERROR: Person NafizOzakFaruk not found in TEI corpus, skipping!
ERROR: Person KilicSuat not found in TEI corpus, skipping!
ERROR: Person CagatayKilicAkif not found in TEI corpus, skipping!
ERROR: Person AskinBakOsman not found in TEI corpus, skipping!
ERROR: Person KasapogluMehmet not found in TEI corpus, skipping!
ERROR: Person UnakitanKemal not found in TEI corpus, skipping!
ERROR: Person SimsekMehmet not found in TEI corpus, skipping!
ERROR: Person AgbalNaci not found in TEI corpus, skipping!
ERROR: Person AlbayrakBerat not found in TEI corpus, skipping!
ERROR: Person ElvanLufti not found in TEI corpus, skipping!
ERROR: Person NebatiNureddin not found in TEI corpus, skipping!
ERROR: Person AtalayBesir not found in TEI corpus, skipping!
ERROR: Person GunesOsman not found in TEI corpus, skipping!
ERROR: Person NaimSahinIdris not found in TEI corpus, skipping!
ERROR: Person GulerMuammer not found in TEI corpus, skipping!
ERROR: Person AlaEfkan not found in TEI corpus, skipping!
ERROR: Person OzturkSebahattin not found in TEI corpus, skipping!
ERROR: Person AltinokSelami not found in TEI corpus, skipping!
ERROR: Person AlaEfkan not found in TEI corpus, skipping!
ERROR: Person SoyluSuleyman not found in TEI corpus, skipping!
ERROR: Person GunayErtugrul not found in TEI corpus, skipping!
ERROR: Person CelikOmer not found in TEI corpus, skipping!
ERROR: Person TopcuYalcin not found in TEI corpus, skipping!
ERROR: Person UnalMahir not found in TEI corpus, skipping!
ERROR: Person AvciNabi not found in TEI corpus, skipping!
ERROR: Person KurtulmusNuman not found in TEI corpus, skipping!
ERROR: Person NuriErsoyMehmet not found in TEI corpus, skipping!
ERROR: Person CelikHuseyin not found in TEI corpus, skipping!
ERROR: Person CubukcuNimet not found in TEI corpus, skipping!
ERROR: Person DincerOmar not found in TEI corpus, skipping!
ERROR: Person AvciNabi not found in TEI corpus, skipping!
ERROR: Person YilmazIsmet not found in TEI corpus, skipping!
ERROR: Person SelcukZiya not found in TEI corpus, skipping!
ERROR: Person OzerMahmut not found in TEI corpus, skipping!
ERROR: Person GonulVecdi not found in TEI corpus, skipping!
ERROR: Person YilmazIsmet not found in TEI corpus, skipping!
ERROR: Person GonulVecdi not found in TEI corpus, skipping!
ERROR: Person YilmazIsmet not found in TEI corpus, skipping!
ERROR: Person IsikFikri not found in TEI corpus, skipping!
ERROR: Person CanikliNurettin not found in TEI corpus, skipping!
