ID	Parent_ID	Element	Language	Senti_3	Senti_6	Senti_n	Sents	Words	Tokens	Names	
ParlaMint-SI_2015-03-06-SDZ7-Redna-05.ana.u1	ParlaMint-SI_2015-03-06-SDZ7-Redna-05	u	slovenski	Nevtralen	nevtralno negativen	2.180	8	148	179	25	
ParlaMint-SI_2015-03-06-SDZ7-Redna-05.ana.seg1.1	ParlaMint-SI_2015-03-06-SDZ7-Redna-05.ana.u1	s	slovenski	Pozitiven	mešano pozitiven	4.079	1	9	11	0	
ParlaMint-SI_2015-03-06-SDZ7-Redna-05.ana.seg2.1	ParlaMint-SI_2015-03-06-SDZ7-Redna-05.ana.u1	s	slovenski	Nevtralen	nevtralno pozitiven	3.302	1	7	8	1	
ParlaMint-SI_2015-03-06-SDZ7-Redna-05.ana.seg3.1	ParlaMint-SI_2015-03-06-SDZ7-Redna-05.ana.u1	s	slovenski	Nevtralen	nevtralno negativen	1.722	1	76	95	18	
ParlaMint-SI_2015-03-06-SDZ7-Redna-05.ana.seg4.1	ParlaMint-SI_2015-03-06-SDZ7-Redna-05.ana.u1	s	slovenski	Pozitiven	pozitiven	4.512	1	4	5	0	
ParlaMint-SI_2015-03-06-SDZ7-Redna-05.ana.seg5.1	ParlaMint-SI_2015-03-06-SDZ7-Redna-05.ana.u1	s	slovenski	Nevtralen	nevtralno pozitiven	3.169	1	3	4	0	
ParlaMint-SI_2015-03-06-SDZ7-Redna-05.ana.seg5.2	ParlaMint-SI_2015-03-06-SDZ7-Redna-05.ana.u1	s	slovenski	Nevtralen	nevtralno pozitiven	2.711	1	19	21	1	
ParlaMint-SI_2015-03-06-SDZ7-Redna-05.ana.seg6.1	ParlaMint-SI_2015-03-06-SDZ7-Redna-05.ana.u1	s	slovenski	Nevtralen	nevtralno pozitiven	3.051	1	9	10	2	
ParlaMint-SI_2015-03-06-SDZ7-Redna-05.ana.seg6.2	ParlaMint-SI_2015-03-06-SDZ7-Redna-05.ana.u1	s	slovenski	Nevtralen	nevtralno pozitiven	2.993	1	21	25	3	
ParlaMint-SI_2015-03-06-SDZ7-Redna-05.ana.u2	ParlaMint-SI_2015-03-06-SDZ7-Redna-05	u	slovenski	Nevtralen	nevtralno pozitiven	3.440	7	134	152	16	
ParlaMint-SI_2015-03-06-SDZ7-Redna-05.ana.seg7.1	ParlaMint-SI_2015-03-06-SDZ7-Redna-05.ana.u2	s	slovenski	Pozitiven	mešano pozitiven	3.888	1	7	9	0	
ParlaMint-SI_2015-03-06-SDZ7-Redna-05.ana.seg7.2	ParlaMint-SI_2015-03-06-SDZ7-Redna-05.ana.u2	s	slovenski	Pozitiven	mešano pozitiven	3.721	1	4	5	0	
ParlaMint-SI_2015-03-06-SDZ7-Redna-05.ana.seg8.1	ParlaMint-SI_2015-03-06-SDZ7-Redna-05.ana.u2	s	slovenski	Nevtralen	nevtralno pozitiven	2.982	1	34	38	5	
