ID	Speeches	W.Spks	W.NCs	W.MPs	Heads	Notes	Incidents
BE	148425	147940	116214	141340	0	140512	865
BG	146351	146295	73981	120780	0	0	34313
CZ	154460	154460	72301	150957	0	188563	25692
DK	287144	287144	137210	277835	10544	10544	0
ES	49919	27812	21414	27709	1728	46965	0
FR	481603	465590	421241	437965	12498	12498	62709
GB	552103	549710	537928	547305	31389	165648	0
HR	124496	124486	62128	116716	16	9	11842
HU	3086	3086	3086	3086	0	2958	3752
IS	74132	74132	71693	71900	0	99	41405
IT	79373	79373	50735	78269	11585	192855	61607
LT	244835	244835	126488	229980	1752	35406	30155
LV	122136	122136	60663	117899	0	122136	0
NL	474964	474964	351789	463629	0	191113	0
PL	331044	331044	226046	302965	516	9453	112786
SI	75122	75122	37216	70609	1240	85111	2337
TR	1.576728E6	1.31415E6	1.120439E6	1.310804E6	0	142415	0
