ID	Parties	C/O	Orgs	Speakers	Sex	MPs	Affill.	Birth	URLs	IMG
BE	63	10	2	775	548	548	548	548	0	548
BG	14	4	5	606	606	420	310	534	99	0
CZ	61	5	851	485	461	366	366	403	463	364
DK	19	4	2	454	454	446	454	454	0	0
ES	50	10	2	814	814	764	758	793	0	0
FR	16	0	100	670	670	609	585	664	0	0
GB	31	5	2	1901	1901	1865	1897	0	1901	1029
HR	16	2	2	322	322	182	186	168	0	0
HU	10	0	2	194	194	194	194	192	0	0
IS	10	6	2	205	205	113	201	205	0	0
IT	42	22	2	739	739	689	589	739	0	0
LT	13	20	214	799	799	247	233	247	0	0
LV	11	0	2	219	219	174	174	0	0	0
NL	29	12	3	492	492	454	457	0	0	0
PL	10	3	1	1123	1122	743	709	742	0	0
SI	15	8	5	377	377	167	163	193	78	0
TR	19	3	2	1237	1237	1223	1203	0	0	0
