country	pm_id	lr	url	comment
NL	50PLUS	C	https://en.wikipedia.org/wiki/50PLUS	-
NL	BIJ1	LLF	https://en.wikipedia.org/wiki/BIJ1	-
NL	BBB	CR	https://nl.wikipedia.org/wiki/BoerBurgerBeweging	-
NL	CDA	CCR	https://en.wikipedia.org/wiki/Christian_Democratic_Appeal	-
NL	CU	CR	https://en.wikipedia.org/wiki/Christian_Union_(Netherlands)	-
NL	DENK	CL	https://en.wikipedia.org/wiki/DENK_(political_party)	-
NL	D66	C	https://en.wikipedia.org/wiki/Democrats_66	-
NL	FvD	FR	https://en.wikipedia.org/wiki/Forum_for_Democracy	-
NL	Bontes	RRF	https://en.wikipedia.org/wiki/Party_for_Freedom	-
NL	Den Haan	C	https://en.wikipedia.org/wiki/Liane_den_Haan	Independent since 2021
NL	Gündoğan	C	https://en.wikipedia.org/wiki/Nilüfer_Gündoğan	Independent politician since March 2022
NL	Houwers	-	-	-
NL	Klein	-	-	-
NL	Krol	CCR	https://en.wikipedia.org/wiki/Henk_Krol_List	-
NL	Monasch	-	-	-
NL	Omtzigt	R	https://en.wikipedia.org/wiki/Pieter_Omtzigt	Independent politician since 2021
NL	Van Haga	R	https://en.wikipedia.org/wiki/Belang_van_Nederland	-
NL	Van Kooten-Arissen	CCL	https://en.wikipedia.org/wiki/Splinter_(political_party)	-
NL	Van Vliet	-	-	-
NL	vanPareren	RRF	https://en.wikipedia.org/wiki/JA21	-
NL	GL	CLL	https://en.wikipedia.org/wiki/GroenLinks	-
NL	Bontes/Van Klaveren	RRF	https://en.wikipedia.org/wiki/Party_for_Freedom	-
NL	GKÖ	-	-	-
NL	GKVK	R	https://en.wikipedia.org/wiki/Farmers%27_Party_(Netherlands)	-
NL	JA21	RRF	https://en.wikipedia.org/wiki/JA21	-
NL	vKA	-	-	-
NL	OSF	C	https://nl.wikipedia.org/wiki/Onafhankelijke_Politiek_Nederland	-
NL	Nieuwe Wegen	C	https://nl.wikipedia.org/wiki/Nieuwe_Wegen	-
NL	PvdA	CL	https://en.wikipedia.org/wiki/Labour_Party_(Netherlands)	-
NL	PvdD	L	https://en.wikipedia.org/wiki/Party_for_the_Animals	-
NL	PVV	RRF	https://en.wikipedia.org/wiki/Party_for_Freedom	-
NL	SP	L	https://en.wikipedia.org/wiki/Socialist_Party_(Netherlands)	-
NL	SGP	R	https://en.wikipedia.org/wiki/Reformed_Political_Party	-
NL	VOLT	C	https://en.wikipedia.org/wiki/Volt_Netherlands	-
NL	VVD	CR	https://en.wikipedia.org/wiki/People%27s_Party_for_Freedom_and_Democracy	-
